anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://voces.com.uy/,2024-12-15T01:35:18Z,20241215013521.218440_AR_webconnectivity_acb15573e9aa32cc,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215013521.218440_AR_webconnectivity_acb15573e9aa32cc,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://premiumhentaiclub.co/,2024-12-15T01:28:29Z,20241215012831.422529_AR_webconnectivity_ed44094018ba0c13,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215012831.422529_AR_webconnectivity_ed44094018ba0c13,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://libgen.lc/,2024-12-15T01:26:43Z,20241215012646.447841_AR_webconnectivity_19e7fe3695b1cd21,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215012646.447841_AR_webconnectivity_19e7fe3695b1cd21,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.mapuchenative.com/,2024-12-15T01:19:42Z,20241215012023.470404_AR_webconnectivity_300e3ebd865f996f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215012023.470404_AR_webconnectivity_300e3ebd865f996f,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://cloudflare-ipfs.com/,2024-12-15T01:15:05Z,20241215011507.053289_AR_webconnectivity_c797bca48c776b9e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215011507.053289_AR_webconnectivity_c797bca48c776b9e,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://libgen.me/,2024-12-15T00:52:23Z,20241215005225.439998_AR_webconnectivity_50094e23650d5751,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215005225.439998_AR_webconnectivity_50094e23650d5751,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://use-application-dns.net/,2024-12-15T00:52:09Z,20241215005211.405764_AR_webconnectivity_1d30562c5bb93801,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215005211.405764_AR_webconnectivity_1d30562c5bb93801,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.mp3.com/,2024-12-15T00:37:03Z,20241215003704.748455_AR_webconnectivity_af3b22f1645f7be1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215003704.748455_AR_webconnectivity_af3b22f1645f7be1,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.match.com/,2024-12-15T00:36:56Z,20241215003702.338096_AR_webconnectivity_9c870d3ff69aa3df,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215003702.338096_AR_webconnectivity_9c870d3ff69aa3df,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.diarioextra.com.ar/,2024-12-15T00:07:05Z,20241215000708.943403_AR_webconnectivity_9d02774517f0d95f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215000708.943403_AR_webconnectivity_9d02774517f0d95f,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://cf-ipfs.com/,2024-12-15T00:06:14Z,20241215000616.213273_AR_webconnectivity_6dc3fd2e876e4070,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215000616.213273_AR_webconnectivity_6dc3fd2e876e4070,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://clarin.com.ar/,2024-12-15T00:04:30Z,20241215000431.754526_AR_webconnectivity_c89a221b9b832527,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215000431.754526_AR_webconnectivity_c89a221b9b832527,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://transsexual.org/,2024-12-15T00:04:15Z,20241215000429.708494_AR_webconnectivity_68f01cf4120979d8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241215000429.708494_AR_webconnectivity_68f01cf4120979d8,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.getrevue.co/,2024-12-14T23:46:21Z,20241214234623.423440_AR_webconnectivity_9992bd8f46897e2e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214234623.423440_AR_webconnectivity_9992bd8f46897e2e,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.religioustolerance.org/,2024-12-14T23:45:34Z,20241214234536.015427_AR_webconnectivity_8475da739646e5a1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214234536.015427_AR_webconnectivity_8475da739646e5a1,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://kickassclassical.com/,2024-12-14T23:45:23Z,20241214234525.467043_AR_webconnectivity_dd30ec7bbdd2f8df,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214234525.467043_AR_webconnectivity_dd30ec7bbdd2f8df,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://doh-fi.blahdns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,2024-12-14T23:36:26Z,20241214233627.771196_AR_webconnectivity_33b3bf1876ade020,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214233627.771196_AR_webconnectivity_33b3bf1876ade020,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.metacafe.com/,2024-12-14T23:01:50Z,20241214230156.603479_AR_webconnectivity_8fa1648c7be7d5cf,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214230156.603479_AR_webconnectivity_8fa1648c7be7d5cf,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.fgmnetwork.org/,2024-12-14T22:13:24Z,20241214221343.668090_AR_webconnectivity_722c9b3ad7fbe8e4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214221343.668090_AR_webconnectivity_722c9b3ad7fbe8e4,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.mnr.gov.cn/,2024-12-14T22:00:01Z,20241214220058.836296_AR_webconnectivity_71eb7226b8b97934,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214220058.836296_AR_webconnectivity_71eb7226b8b97934,AS212238,AR,20241214T155333Z_webconnectivity_AR_212238_n1_aSslu5GrruQAycUN,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://search.privacytools.io/,2024-12-14T21:51:04Z,20241214215105.305783_AR_webconnectivity_5bbddc57d6e147b2,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214215105.305783_AR_webconnectivity_5bbddc57d6e147b2,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.asstr.org/,2024-12-14T21:44:48Z,20241214214459.430093_AR_webconnectivity_4d85ac23f9cf5b46,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214214459.430093_AR_webconnectivity_4d85ac23f9cf5b46,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.asstr.org/,2024-12-14T21:44:30Z,20241214214448.477775_AR_webconnectivity_0695601756abbc90,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214214448.477775_AR_webconnectivity_0695601756abbc90,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://thepiratebay.se/,2024-12-14T21:38:57Z,20241214213858.599115_AR_webconnectivity_3778231a010adb45,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214213858.599115_AR_webconnectivity_3778231a010adb45,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.atimes.com/,2024-12-14T21:38:28Z,20241214213831.370624_AR_webconnectivity_d1c517b3fc29e9ec,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214213831.370624_AR_webconnectivity_d1c517b3fc29e9ec,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.securityfocus.com/,2024-12-14T21:34:15Z,20241214213416.280708_AR_webconnectivity_f46c8247062cfb6c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214213416.280708_AR_webconnectivity_f46c8247062cfb6c,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.agendadelasmujeres.com.ar/,2024-12-14T21:33:24Z,20241214213325.389582_AR_webconnectivity_0526ac6e392d9278,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214213325.389582_AR_webconnectivity_0526ac6e392d9278,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.on-instant.com/,2024-12-14T21:33:20Z,20241214213323.421273_AR_webconnectivity_c0494bb71a3ff27a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214213323.421273_AR_webconnectivity_c0494bb71a3ff27a,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.serpaj.org/,2024-12-14T21:32:18Z,20241214213221.594674_AR_webconnectivity_ba9c1c99ac21c007,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214213221.594674_AR_webconnectivity_ba9c1c99ac21c007,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.islamdoor.com/,2024-12-14T21:30:22Z,20241214213024.832897_AR_webconnectivity_ad7fee6d71d89a3c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214213024.832897_AR_webconnectivity_ad7fee6d71d89a3c,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.diariouno.net.ar/,2024-12-14T21:28:10Z,20241214212811.612351_AR_webconnectivity_9e2a108c6c9ed944,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214212811.612351_AR_webconnectivity_9e2a108c6c9ed944,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.diarioaccion.com.ar/,2024-12-14T21:26:31Z,20241214212635.317399_AR_webconnectivity_e1a9e1ccfb5cc83b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214212635.317399_AR_webconnectivity_e1a9e1ccfb5cc83b,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.phenoelit.org/,2024-12-14T21:22:49Z,20241214212256.061741_AR_webconnectivity_edaadc204983ac3a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241214212256.061741_AR_webconnectivity_edaadc204983ac3a,AS14593,AR,20241214T195406Z_webconnectivity_AR_14593_n1_oMbzZTIZFEK3golf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
