anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.match.com,2024-12-13T16:29:29Z,20241213162929.045874_AR_webconnectivity_15e711d1094b4597,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213162929.045874_AR_webconnectivity_15e711d1094b4597,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 5, 'expected_countries': [], 'location_found': 'body', 'name': 'cp.fp_x_fpru_nginx', 'scope': 'fp'}, {'confidence_no_fp': 5, 'expected_countries': [], 'location_found': 'body', 'name': 'cp.fp_satellite_fp_nginx_1', 'scope': 'fp'}, {'confidence_no_fp': 5, 'expected_countries': [], 'location_found': 'body', 'name': 'cp.fp_satellite_fp_nginx_welcome', 'scope': 'fp'}]}",web_connectivity
True,False,False,http://www.eurogrand.com,2024-12-13T16:29:06Z,20241213162905.966780_AR_webconnectivity_44b88b3858a81b6d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213162905.966780_AR_webconnectivity_44b88b3858a81b6d,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://www.spinpalace.com,2024-12-13T16:28:45Z,20241213162847.625161_AR_webconnectivity_9bf4dd481b6e366d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213162847.625161_AR_webconnectivity_9bf4dd481b6e366d,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.religioustolerance.org,2024-12-13T16:28:00Z,20241213162802.721196_AR_webconnectivity_5cab7427633b62f5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213162802.721196_AR_webconnectivity_5cab7427633b62f5,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.sportingbet.com,2024-12-13T16:23:31Z,20241213162330.428588_AR_webconnectivity_b23c34e65612d7a9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213162330.428588_AR_webconnectivity_b23c34e65612d7a9,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://extratorrent.cc,2024-12-13T16:20:19Z,20241213162018.502058_AR_webconnectivity_642ee75b548b497c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213162018.502058_AR_webconnectivity_642ee75b548b497c,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://thepiratebay.se,2024-12-13T16:19:36Z,20241213161935.596781_AR_webconnectivity_b7fef057336458a6,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213161935.596781_AR_webconnectivity_b7fef057336458a6,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.betfair.com,2024-12-13T16:18:19Z,20241213161818.860826_AR_webconnectivity_3327384a29496770,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241213161818.860826_AR_webconnectivity_3327384a29496770,AS16814,AR,20241213T161456Z_webconnectivity_AR_16814_n1_ZENclotzTDkhpnUX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://www.888casino.com,2024-12-12T12:55:28Z,20241212125529.120626_AR_webconnectivity_cbb8856d2f198521,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241212125529.120626_AR_webconnectivity_cbb8856d2f198521,AS16814,AR,20241212T124715Z_webconnectivity_AR_16814_n1_vMCmjf1ghlEzkxte,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://www.pokerstars.com/,2024-12-12T11:37:41Z,20241212113742.231687_AR_webconnectivity_962258a53fa1759a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241212113742.231687_AR_webconnectivity_962258a53fa1759a,AS16814,AR,20241212T104303Z_webconnectivity_AR_16814_n1_rDZ2eTmfXO1xOKZS,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
