anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://anonym.to,2017-03-03T18:03:21Z,012017030393070ff8a61f4e8c16aac45b039af0,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=012017030393070ff8a61f4e8c16aac45b039af0,AS14754,NI,20170303T190251Z_AS14754_5aFUdBvgP1v7cGLcTURPYAT61z2dd7KZFlmE1tiqJnjBAdJwlL,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.cutegirlfriend.net,2017-03-01T02:18:46Z,0120170301760c404790f84cd9715538b78164cd,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120170301760c404790f84cd9715538b78164cd,AS264609,NI,20170301T031719Z_AS264609_cD01jZuMj4mjYiOlprUrWg5yUIPUAyXScpQ3FetOjneDA1p8Y2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.usacasino.com,2017-03-01T02:18:43Z,0120170301da9f1dc15160448d42b6fcb9657b19,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120170301da9f1dc15160448d42b6fcb9657b19,AS264609,NI,20170301T031719Z_AS264609_cD01jZuMj4mjYiOlprUrWg5yUIPUAyXScpQ3FetOjneDA1p8Y2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.breastenlargementmagazine.com,2017-03-01T02:18:18Z,01201703017322aaf7608d75c6a8a395af0d3dee,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201703017322aaf7608d75c6a8a395af0d3dee,AS264609,NI,20170301T031719Z_AS264609_cD01jZuMj4mjYiOlprUrWg5yUIPUAyXScpQ3FetOjneDA1p8Y2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.89.com,2017-03-01T02:17:45Z,012017030192782e2e7fa95b443b865c30354b74,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=012017030192782e2e7fa95b443b865c30354b74,AS264609,NI,20170301T031719Z_AS264609_cD01jZuMj4mjYiOlprUrWg5yUIPUAyXScpQ3FetOjneDA1p8Y2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.queerty.com,2017-03-01T02:17:37Z,0120170301586b018e66160f404fcd859db62670,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120170301586b018e66160f404fcd859db62670,AS264609,NI,20170301T031719Z_AS264609_cD01jZuMj4mjYiOlprUrWg5yUIPUAyXScpQ3FetOjneDA1p8Y2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.gotgayporn.com,2017-03-01T02:17:18Z,012017030115158721766afaafb1b9960a14cacf,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=012017030115158721766afaafb1b9960a14cacf,AS264609,NI,20170301T031719Z_AS264609_cD01jZuMj4mjYiOlprUrWg5yUIPUAyXScpQ3FetOjneDA1p8Y2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.wetplace.com,2017-03-01T02:16:39Z,0120170301c1927349c7491a31c0e31d87463ac5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120170301c1927349c7491a31c0e31d87463ac5,AS264609,NI,20170301T031543Z_AS264609_Y60biY3IiNSaLgOzKHCWNXdAhcDQgWPp5YzSK691lrXeDZfQmI,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.sexualhealth.com/,2017-09-25T19:40:59Z,012017092531d9e4ab2991d6350d9ebe1fe8f549,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=012017092531d9e4ab2991d6350d9ebe1fe8f549,AS264609,NI,20170925T194033Z_AS264609_VTIm5xajdpkM74JXODgs8zrli49L9WD47tThfYtaLPjf9HIKxf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
