anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.163.com,2017-11-26T14:41:58Z,0120171126c1bb809443fad52661110b6bf16d72,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120171126c1bb809443fad52661110b6bf16d72,AS14754,GT,20171126T144047Z_AS14754_CPGYeaSU7E5bePjGfMGKu0yy1fWN2bVKYZ0lcwmVkQu3mS3xIV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.playboy.com,2017-06-09T18:09:22Z,0120170609cf90434782b916cddda6688227fa1e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120170609cf90434782b916cddda6688227fa1e,AS12127,GT,20170609T200842Z_AS12127_5Z595VHn7DjJoW9S49Q7S0o9uCMA8xP7OtyFJ5bzh0gGutNpNr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://bravotube.net,2017-06-09T18:08:49Z,01201706098a04b8e2e788fdf2b8d9221bcd143b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201706098a04b8e2e788fdf2b8d9221bcd143b,AS12127,GT,20170609T200842Z_AS12127_5Z595VHn7DjJoW9S49Q7S0o9uCMA8xP7OtyFJ5bzh0gGutNpNr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://en-ville.orange.fr/,2017-03-26T23:24:53Z,01201703272f122da27b60052c0e983ebdd4cbf1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201703272f122da27b60052c0e983ebdd4cbf1,AS12127,GT,20170327T012424Z_AS12127_kAPppWPzDcliSpZIEWtbv4fD8i3Zo45QzRBHrSNbkHUGgL8KvL,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.iconnecthere.com,2017-03-26T23:24:05Z,01201703275e3867de15c4decdebfa9029bba4d9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201703275e3867de15c4decdebfa9029bba4d9,AS12127,GT,20170327T012424Z_AS12127_kAPppWPzDcliSpZIEWtbv4fD8i3Zo45QzRBHrSNbkHUGgL8KvL,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,True,http://adultfriendfinder.com,2017-03-16T05:21:22Z,012017031678b763660c77ace786bed7ccea0567,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=012017031678b763660c77ace786bed7ccea0567,AS23243,GT,20170316T062044Z_AS23243_82feqYcxNxwf3KuduxT9WVfMl5KWlX2ZgwxVUmZZqeYnVU3vsu,"{'accuracy': 0.0, 'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.europacasino.com,2017-02-16T04:10:49Z,0120170216c56217e3695dfbf4406a1bc7662d72,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120170216c56217e3695dfbf4406a1bc7662d72,AS14754,GT,20170216T050943Z_AS14754_9AvHrnzOXk3kO1kzIkLBft6O0RdNPabcYotY7js0T4K49MbZfu,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.babylon-x.com,2017-02-11T18:51:50Z,012017021161b8d16c36f5598aca13ceafa0575c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=012017021161b8d16c36f5598aca13ceafa0575c,AS23243,GT,20170211T195226Z_AS23243_jjXDd96IxRoIj29CbKgTkChggiyc7t55RbKzJNS5fwpMedl5RG,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.slideshare.net,2018-11-06T01:18:20Z,0120181106cebf45471a5bd4efc0ab780c0b29aa,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120181106cebf45471a5bd4efc0ab780c0b29aa,AS14754,GT,20181106T011734Z_AS14754_VE7i17DzPN7DlsSKVkEBTe3rGJeCKk1JNXBe3geUkX9pLwCJZh,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
