anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.ragnarokonline.com,2016-12-30T04:43:11Z,01201612300cc6bdf3117de76d30d43f3cf31942,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201612300cc6bdf3117de76d30d43f3cf31942,AS6057,UY,20161230T051540Z_AS6057_eCmuvKxTyvaFC7IuwcpTDXlCyWe6PNfLcvQjCeEFiCshd3yHeg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.defcon.org,2016-12-30T04:28:46Z,0120161230d08dc7d47206357a73975de0df7146,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120161230d08dc7d47206357a73975de0df7146,AS6057,UY,20161230T051540Z_AS6057_eCmuvKxTyvaFC7IuwcpTDXlCyWe6PNfLcvQjCeEFiCshd3yHeg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,True,http://pirateparty.org.au,2016-12-11T04:20:46Z,01201612112f414315b7f23ac2c802cf1dcb55a1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201612112f414315b7f23ac2c802cf1dcb55a1,AS6057,UY,20161211T051607Z_AS6057_05rUJWmzpo6wBtAYeELbQaMXmvAif1HdLqUhLD2WlYyvhyskGw,"{'accuracy': 0.0, 'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,True,http://pingomatic.com,2016-12-11T04:20:46Z,0120161211ee6ba0943772e8d78b36319a5facbb,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120161211ee6ba0943772e8d78b36319a5facbb,AS6057,UY,20161211T051607Z_AS6057_05rUJWmzpo6wBtAYeELbQaMXmvAif1HdLqUhLD2WlYyvhyskGw,"{'accuracy': 0.0, 'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.sexy-geschichten.at,2016-12-07T04:45:35Z,0120161207126ae50d44fbe1b96ae8cd8bbaded4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120161207126ae50d44fbe1b96ae8cd8bbaded4,AS6057,UY,20161207T051234Z_AS6057_Q6jBPAAtnnHGoIJZ7wixdORGWzW1dCao6KSTqodpMAVd8KrALs,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://marijuana.nl,2016-11-29T04:19:31Z,012016112987faec576358b1f8851efe9aeb21ca,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=012016112987faec576358b1f8851efe9aeb21ca,AS6057,UY,20161129T051148Z_AS6057_1QpJ7Z6d5pOv2d3oXil5KUhZ2Rca077by3DkuDElCKduZudzgQ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.babylon-x.com,2016-11-25T04:27:50Z,0120161125aec35d86c0062270272be06ed6aad5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=0120161125aec35d86c0062270272be06ed6aad5,AS6057,UY,20161125T051207Z_AS6057_31RYHJOHqXglOUOAnq86xufOm53Mo1I4siVIwpzDRLO2IRAzj0,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.worldhealth.net,2016-11-22T04:53:05Z,01201611225a65e9796831fac56aa18093aae53b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201611225a65e9796831fac56aa18093aae53b,AS6057,UY,20161122T051441Z_AS6057_nGtWE9uwmZ3RoHuu77lAXsVJI6U4e4VH8z2wqXpUzzMTocyNpj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.beyondexgay.com,2016-11-22T04:27:45Z,01201611225ce69af3cd12aaa61ccb2fec55d42d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201611225ce69af3cd12aaa61ccb2fec55d42d,AS6057,UY,20161122T051441Z_AS6057_nGtWE9uwmZ3RoHuu77lAXsVJI6U4e4VH8z2wqXpUzzMTocyNpj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,True,http://www.mamma.com,2016-11-16T05:47:07Z,01201611167ab6f3105c7010e114c9b17dfc6db2,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=01201611167ab6f3105c7010e114c9b17dfc6db2,AS6057,UY,20161116T051331Z_AS6057_FwXEHcJL1LWVQ5i09wMY9vM05Rv1JO2vflI0vFBEcLOrd5GvpS,"{'accuracy': 0.0, 'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
