anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://cf-ipfs.com/,2024-11-27T01:39:28Z,20241127013930.219011_UY_webconnectivity_6746abc7987f610c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013930.219011_UY_webconnectivity_6746abc7987f610c,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.zodiaccasino.com,2024-11-27T01:39:21Z,20241127013929.388245_UY_webconnectivity_aa6db48f9b0be7ac,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013929.388245_UY_webconnectivity_aa6db48f9b0be7ac,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.zdsptv.com/,2024-11-27T01:39:15Z,20241127013922.293645_UY_webconnectivity_20ef7c22d4a167c5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013922.293645_UY_webconnectivity_20ef7c22d4a167c5,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.zamba.co,2024-11-27T01:39:11Z,20241127013916.120554_UY_webconnectivity_aab8397a9d803cd0,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013916.120554_UY_webconnectivity_aab8397a9d803cd0,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.yukongoldcasino.eu,2024-11-27T01:39:08Z,20241127013911.796255_UY_webconnectivity_77bc646e81f59a8d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013911.796255_UY_webconnectivity_77bc646e81f59a8d,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.yocasino.es,2024-11-27T01:39:07Z,20241127013909.546616_UY_webconnectivity_d8d157580ce2a267,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013909.546616_UY_webconnectivity_d8d157580ce2a267,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.yobingo.es,2024-11-27T01:39:07Z,20241127013908.687398_UY_webconnectivity_95fa0379ae93c7db,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013908.687398_UY_webconnectivity_95fa0379ae93c7db,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.yesbingo.co.uk,2024-11-27T01:39:05Z,20241127013907.897744_UY_webconnectivity_eb16a62fdb95e727,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013907.897744_UY_webconnectivity_eb16a62fdb95e727,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.yakocasino.com,2024-11-27T01:39:04Z,20241127013906.306068_UY_webconnectivity_609142d2a171da5f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013906.306068_UY_webconnectivity_609142d2a171da5f,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.vivelasuerte.es,2024-11-27T01:39:03Z,20241127013905.055760_UY_webconnectivity_4c21cb47f033bd35,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241127013905.055760_UY_webconnectivity_4c21cb47f033bd35,AS6057,UY,20241126T235549Z_webconnectivity_UY_6057_n1_lTcilHS3wNjF581a,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
