anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.getoutline.org/,2024-06-29T18:29:43Z,20240629182945.789452_SV_webconnectivity_5460b77593f85280,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629182945.789452_SV_webconnectivity_5460b77593f85280,AS14754,SV,20240629T182815Z_webconnectivity_SV_14754_n1_kgNUgZxADl8MoXZY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.ultimate-anonymity.com/,2024-06-28T02:29:47Z,20240628022948.191119_SV_webconnectivity_bc173adcf1a18bc6,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628022948.191119_SV_webconnectivity_bc173adcf1a18bc6,AS14754,SV,20240628T022623Z_webconnectivity_SV_14754_n1_DfMf0xKimjcVy5qo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://proxy.i2phides.me/,2024-06-28T01:28:12Z,20240628012813.324500_SV_webconnectivity_9c276a612f095f60,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628012813.324500_SV_webconnectivity_9c276a612f095f60,AS14754,SV,20240628T012534Z_webconnectivity_SV_14754_n1_5HOQAV7i1CKWeyS2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://i2p2.de/,2024-06-28T01:25:11Z,20240628012512.793308_SV_webconnectivity_8514d45ad35d0564,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628012512.793308_SV_webconnectivity_8514d45ad35d0564,AS14754,SV,20240628T011352Z_webconnectivity_SV_14754_n1_XRymdhyv01huBhO0,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://censorship.no/,2024-06-28T01:18:39Z,20240628011840.831220_SV_webconnectivity_bf2f0d939a8f1c9b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628011840.831220_SV_webconnectivity_bf2f0d939a8f1c9b,AS14754,SV,20240628T011352Z_webconnectivity_SV_14754_n1_XRymdhyv01huBhO0,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.peacefire.org/circumventor/simple-circumventor-instructions.html,2024-06-27T18:47:38Z,20240627184738.711185_SV_webconnectivity_07f63ef624d8eb4b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627184738.711185_SV_webconnectivity_07f63ef624d8eb4b,AS14754,SV,20240627T183408Z_webconnectivity_SV_14754_n1_s5YZKMuENxfufsjJ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ipredator.se/,2024-06-27T18:38:58Z,20240627183858.914102_SV_webconnectivity_edb8d5581921bd8c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627183858.914102_SV_webconnectivity_edb8d5581921bd8c,AS14754,SV,20240627T183408Z_webconnectivity_SV_14754_n1_s5YZKMuENxfufsjJ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.knapsackforhope.org/,2024-06-25T00:50:43Z,20240625005045.221442_SV_webconnectivity_363db1ff6db669a1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625005045.221442_SV_webconnectivity_363db1ff6db669a1,AS14754,SV,20240625T003656Z_webconnectivity_SV_14754_n1_kndeLYzLN4zyfZlk,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.anonymizer.ru/,2024-06-24T02:21:40Z,20240624022142.745119_SV_webconnectivity_b2a463153c91e929,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240624022142.745119_SV_webconnectivity_b2a463153c91e929,AS14754,SV,20240624T021607Z_webconnectivity_SV_14754_n1_L646oe3SoESWEqK3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://i2pd.website/,2024-06-24T00:40:11Z,20240624004012.235681_SV_webconnectivity_d04c843753463a3f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240624004012.235681_SV_webconnectivity_d04c843753463a3f,AS14754,SV,20240624T003619Z_webconnectivity_SV_14754_n1_xYmn4iFrQHzV6rrT,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
