anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://sentry.io/api/0/,2024-06-20T19:28:25Z,20240620192825.182838_SV_webconnectivity_b5708e12e39e13b4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620192825.182838_SV_webconnectivity_b5708e12e39e13b4,AS14754,SV,20240620T192507Z_webconnectivity_SV_14754_n1_M1ozlghezQnsKPPo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://connect.rom.miui.com/generate_204,2024-06-19T01:09:21Z,20240619010923.461519_SV_webconnectivity_1e78e842d4624915,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619010923.461519_SV_webconnectivity_1e78e842d4624915,AS14754,SV,20240619T010505Z_webconnectivity_SV_14754_n1_mX6aN4QnonjM350w,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://o0.ingest.sentry.io/api/0,2024-06-17T03:22:20Z,20240617032221.166555_SV_webconnectivity_6bdfc2fc271cb382,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240617032221.166555_SV_webconnectivity_6bdfc2fc271cb382,AS27773,SV,20240617T031933Z_webconnectivity_SV_27773_n1_oFrTIEHBQE5qEYoP,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://connectivitycheck.android.com/generate_204,2024-06-12T15:25:51Z,20240612152553.186681_SV_webconnectivity_8ecd0d0e69c37e1c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240612152553.186681_SV_webconnectivity_8ecd0d0e69c37e1c,AS14754,SV,20240612T152044Z_webconnectivity_SV_14754_n1_i4obEHZTwqD79BoI,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://use-application-dns.net/,2024-06-12T09:05:23Z,20240612090520.417728_SV_webconnectivity_e3165daedad81c00,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240612090520.417728_SV_webconnectivity_e3165daedad81c00,AS14754,SV,20240612T090039Z_webconnectivity_SV_14754_n1_DcxC3eK6bSQoxGOY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://use-application-dns.net/,2024-07-29T00:53:41Z,20240729005341.482955_SV_webconnectivity_412afea517a96c05,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240729005341.482955_SV_webconnectivity_412afea517a96c05,AS27729,SV,20240729T005036Z_webconnectivity_SV_27729_n1_qmmoru4pzC0KsgUb,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://o0.ingest.sentry.io/api/0,2024-07-19T03:10:35Z,20240719031035.636825_SV_webconnectivity_89563566feaef14c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240719031035.636825_SV_webconnectivity_89563566feaef14c,AS14754,SV,20240719T030620Z_webconnectivity_SV_14754_n1_mwYvavYhNoLyQrCY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://clients3.google.com/generate_204,2024-07-19T03:07:38Z,20240719030738.702181_SV_webconnectivity_dbe7e086f51361d3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240719030738.702181_SV_webconnectivity_dbe7e086f51361d3,AS14754,SV,20240719T030620Z_webconnectivity_SV_14754_n1_mwYvavYhNoLyQrCY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://use-application-dns.net/,2024-08-26T14:55:32Z,20240826145533.043669_SV_webconnectivity_158eba628cd4f62d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240826145533.043669_SV_webconnectivity_158eba628cd4f62d,AS27729,SV,20240826T145438Z_webconnectivity_SV_27729_n1_vxoNuaB2IDplMm0u,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.msftncsi.com/ncsi.txt,2024-08-11T04:48:38Z,20240811044840.262752_SV_webconnectivity_741aca482cc77532,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240811044840.262752_SV_webconnectivity_741aca482cc77532,AS14754,SV,20240811T044108Z_webconnectivity_SV_14754_n1_SJdQFIn5swwf7JWu,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.msftconnecttest.com/connecttest.txt,2024-08-11T04:47:52Z,20240811044754.307720_SV_webconnectivity_905e701022f58f85,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240811044754.307720_SV_webconnectivity_905e701022f58f85,AS14754,SV,20240811T044108Z_webconnectivity_SV_14754_n1_SJdQFIn5swwf7JWu,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://use-application-dns.net/,2024-09-29T15:59:25Z,20240929155926.127715_SV_webconnectivity_97c519004db51f81,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240929155926.127715_SV_webconnectivity_97c519004db51f81,AS27729,SV,20240929T155648Z_webconnectivity_SV_27729_n1_iHsyKCaYrki7XDqs,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
