anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.mp3.com/,2024-06-29T22:47:06Z,20240629224706.981943_SV_webconnectivity_513b76dfde768daa,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629224706.981943_SV_webconnectivity_513b76dfde768daa,AS269734,SV,20240629T224526Z_webconnectivity_SV_269734_n1_fK6TCEzZb4JEbdxz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://wikihow.com/,2024-06-28T18:51:38Z,20240628185139.633918_SV_webconnectivity_4ab01445140a0e6a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628185139.633918_SV_webconnectivity_4ab01445140a0e6a,AS14754,SV,20240628T184740Z_webconnectivity_SV_14754_n1_zBSqHOQh6vOuOosi,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.schwarzreport.org/,2024-06-28T02:51:57Z,20240628025159.037483_SV_webconnectivity_17466e967278b79d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628025159.037483_SV_webconnectivity_17466e967278b79d,AS14754,SV,20240628T024438Z_webconnectivity_SV_14754_n1_PLOQ2X71co1Yo441,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.iaru.org/,2024-06-28T02:47:43Z,20240628024745.464056_SV_webconnectivity_e59af2d9fe921b23,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628024745.464056_SV_webconnectivity_e59af2d9fe921b23,AS14754,SV,20240628T024438Z_webconnectivity_SV_14754_n1_PLOQ2X71co1Yo441,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.musixmatch.com/,2024-06-27T17:21:43Z,20240627172144.086947_SV_webconnectivity_15c52a2a63a7fec0,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627172144.086947_SV_webconnectivity_15c52a2a63a7fec0,AS14754,SV,20240627T172121Z_webconnectivity_SV_14754_n1_CF8fpFpsEDLwjXUF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.theonion.com/,2024-06-26T02:15:14Z,20240626021515.986304_SV_webconnectivity_d26f07508b894423,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626021515.986304_SV_webconnectivity_d26f07508b894423,AS14754,SV,20240626T015325Z_webconnectivity_SV_14754_n1_g8dj5OHwWo4XNNUj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.gawker.com/,2024-06-26T02:04:22Z,20240626020424.166408_SV_webconnectivity_108e43d112ff0d24,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626020424.166408_SV_webconnectivity_108e43d112ff0d24,AS14754,SV,20240626T015325Z_webconnectivity_SV_14754_n1_g8dj5OHwWo4XNNUj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://radiofreetexas.com/,2024-06-26T01:56:10Z,20240626015611.581802_SV_webconnectivity_49234c17fc1efe23,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626015611.581802_SV_webconnectivity_49234c17fc1efe23,AS14754,SV,20240626T015325Z_webconnectivity_SV_14754_n1_g8dj5OHwWo4XNNUj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://credibilitycoalition.org/,2024-06-26T01:09:54Z,20240626010955.798104_SV_webconnectivity_fa5ca5d248d543cc,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626010955.798104_SV_webconnectivity_fa5ca5d248d543cc,AS14754,SV,20240626T005718Z_webconnectivity_SV_14754_n1_kirvEWpqCIBCKvJf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.collegehumor.com/,2024-06-25T18:08:41Z,20240625180841.432633_SV_webconnectivity_97889ac08a312617,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625180841.432633_SV_webconnectivity_97889ac08a312617,AS269734,SV,20240625T175643Z_webconnectivity_SV_269734_n1_qxlTEw64RFcFlXgz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://w3schools.com/,2024-06-25T18:05:08Z,20240625180508.465757_SV_webconnectivity_374b479af5f78c53,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625180508.465757_SV_webconnectivity_374b479af5f78c53,AS269734,SV,20240625T175643Z_webconnectivity_SV_269734_n1_qxlTEw64RFcFlXgz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.vibe.com/,2024-06-22T01:03:19Z,20240622010319.115609_SV_webconnectivity_05cd1e4d4a7bc46f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240622010319.115609_SV_webconnectivity_05cd1e4d4a7bc46f,AS14754,SV,20240622T005716Z_webconnectivity_SV_14754_n1_rHv5QwMdcBRiSSmp,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.marxists.org/,2024-06-22T00:59:11Z,20240622005910.999009_SV_webconnectivity_58960f77fd3ef4d7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240622005910.999009_SV_webconnectivity_58960f77fd3ef4d7,AS14754,SV,20240622T005716Z_webconnectivity_SV_14754_n1_rHv5QwMdcBRiSSmp,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.mp3.com/,2024-07-30T17:58:51Z,20240730175851.925590_SV_webconnectivity_b620d7296f19ec35,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240730175851.925590_SV_webconnectivity_b620d7296f19ec35,AS27773,SV,20240730T175812Z_webconnectivity_SV_27773_n1_eAeL3oRRxXaEoLhi,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
