anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.helvetas.ch/,2024-06-19T02:27:27Z,20240619022728.280178_SV_webconnectivity_3d4fac7f1d1d38d4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619022728.280178_SV_webconnectivity_3d4fac7f1d1d38d4,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.common-fund.org/,2024-06-19T01:22:04Z,20240619012205.501630_SV_webconnectivity_3319c37c928a2b51,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619012205.501630_SV_webconnectivity_3319c37c928a2b51,AS14754,SV,20240619T010505Z_webconnectivity_SV_14754_n1_mX6aN4QnonjM350w,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.akdn.org/,2024-06-19T01:20:04Z,20240619012005.097022_SV_webconnectivity_651654fbd81a0d75,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619012005.097022_SV_webconnectivity_651654fbd81a0d75,AS14754,SV,20240619T010505Z_webconnectivity_SV_14754_n1_mX6aN4QnonjM350w,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://wkkf.org/,2024-06-19T01:19:34Z,20240619011935.592362_SV_webconnectivity_4a53f022f5b8369d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619011935.592362_SV_webconnectivity_4a53f022f5b8369d,AS14754,SV,20240619T010505Z_webconnectivity_SV_14754_n1_mX6aN4QnonjM350w,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://localmonero.co/,2024-06-19T01:16:34Z,20240619011634.746501_SV_webconnectivity_11ba8fab8ae747d9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619011634.746501_SV_webconnectivity_11ba8fab8ae747d9,AS14754,SV,20240619T010505Z_webconnectivity_SV_14754_n1_mX6aN4QnonjM350w,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://electrum.org/,2024-06-19T01:15:40Z,20240619011541.704711_SV_webconnectivity_ba0aaf8027887af8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619011541.704711_SV_webconnectivity_ba0aaf8027887af8,AS14754,SV,20240619T010505Z_webconnectivity_SV_14754_n1_mX6aN4QnonjM350w,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://blockdx.co/,2024-06-19T01:00:44Z,20240619010045.523549_SV_webconnectivity_9f69d6c681f8e6cd,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619010045.523549_SV_webconnectivity_9f69d6c681f8e6cd,AS14754,SV,20240619T004725Z_webconnectivity_SV_14754_n1_wf9KLZfogndo6Yeg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.idrc.ca/,2024-06-05T06:34:41Z,20240605063443.401087_SV_webconnectivity_6716072f613d4fa1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240605063443.401087_SV_webconnectivity_6716072f613d4fa1,AS14754,SV,20240605T062907Z_webconnectivity_SV_14754_n1_bCG8Mm7LoPu9XpUR,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.weforum.org/,2024-06-05T00:41:00Z,20240605004101.148720_SV_webconnectivity_82a47a476713f3ab,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240605004101.148720_SV_webconnectivity_82a47a476713f3ab,AS14754,SV,20240605T002939Z_webconnectivity_SV_14754_n1_nkhd4OUsbHbS8k2S,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.progressio.org.uk/,2024-06-05T00:39:18Z,20240605003919.193130_SV_webconnectivity_d509afb077d538c1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240605003919.193130_SV_webconnectivity_d509afb077d538c1,AS14754,SV,20240605T002939Z_webconnectivity_SV_14754_n1_nkhd4OUsbHbS8k2S,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.sida.se/,2024-07-19T03:26:52Z,20240719032653.256008_SV_webconnectivity_015de8254cb498c7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240719032653.256008_SV_webconnectivity_015de8254cb498c7,AS14754,SV,20240719T032619Z_webconnectivity_SV_14754_n1_Visl6CJX7ZH6bTbe,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ifc.org/,2024-07-19T03:22:25Z,20240719032226.107042_SV_webconnectivity_45b556a9ca82a5ee,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240719032226.107042_SV_webconnectivity_45b556a9ca82a5ee,AS14754,SV,20240719T031909Z_webconnectivity_SV_14754_n1_smg3Qrv0DPF6NXu9,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.helvetas.ch/,2024-07-19T03:21:57Z,20240719032158.143264_SV_webconnectivity_e5bebae87ed2ce67,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240719032158.143264_SV_webconnectivity_e5bebae87ed2ce67,AS14754,SV,20240719T031909Z_webconnectivity_SV_14754_n1_smg3Qrv0DPF6NXu9,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
