anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.mnr.gov.cn/,2024-06-29T22:47:05Z,20240629224706.158079_SV_webconnectivity_1120139214638066,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629224706.158079_SV_webconnectivity_1120139214638066,AS269734,SV,20240629T224526Z_webconnectivity_SV_269734_n1_fK6TCEzZb4JEbdxz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.darpa.mil/,2024-06-28T02:41:02Z,20240628024103.346693_SV_webconnectivity_cd4d3490b28dbd1c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628024103.346693_SV_webconnectivity_cd4d3490b28dbd1c,AS14754,SV,20240628T022623Z_webconnectivity_SV_14754_n1_DfMf0xKimjcVy5qo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.cis.minsk.by/,2024-06-28T02:40:26Z,20240628024027.480770_SV_webconnectivity_2ca3e5b453349efb,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628024027.480770_SV_webconnectivity_2ca3e5b453349efb,AS14754,SV,20240628T022623Z_webconnectivity_SV_14754_n1_DfMf0xKimjcVy5qo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.uscg.mil/,2024-06-26T02:16:34Z,20240626021636.415578_SV_webconnectivity_9b491ab3fc53ac50,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626021636.415578_SV_webconnectivity_9b491ab3fc53ac50,AS14754,SV,20240626T015325Z_webconnectivity_SV_14754_n1_g8dj5OHwWo4XNNUj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.stratcom.mil/,2024-06-26T02:15:02Z,20240626021504.333049_SV_webconnectivity_09a5d72a840afbe7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626021504.333049_SV_webconnectivity_09a5d72a840afbe7,AS14754,SV,20240626T015325Z_webconnectivity_SV_14754_n1_g8dj5OHwWo4XNNUj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://isa.gov.ly/,2024-06-26T01:13:53Z,20240626011354.685290_SV_webconnectivity_9c56ddfda6bff871,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626011354.685290_SV_webconnectivity_9c56ddfda6bff871,AS14754,SV,20240626T005718Z_webconnectivity_SV_14754_n1_kirvEWpqCIBCKvJf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.army.mil/,2024-06-25T18:07:18Z,20240625180719.287956_SV_webconnectivity_7d1bc2c0ab1ce1b8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625180719.287956_SV_webconnectivity_7d1bc2c0ab1ce1b8,AS269734,SV,20240625T175643Z_webconnectivity_SV_269734_n1_qxlTEw64RFcFlXgz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.fsb.ru/,2024-06-22T18:43:45Z,20240622184346.212846_SV_webconnectivity_d29438f90d6e118a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240622184346.212846_SV_webconnectivity_d29438f90d6e118a,AS14754,SV,20240622T184127Z_webconnectivity_SV_14754_n1_A8LJSLRDUIuXaHBq,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.jsf.mil/,2024-06-22T00:53:19Z,20240622005319.007560_SV_webconnectivity_c5591c73e8a65103,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240622005319.007560_SV_webconnectivity_c5591c73e8a65103,AS14754,SV,20240622T004430Z_webconnectivity_SV_14754_n1_pnJgqnynEQTRsrYI,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.centcom.mil/,2024-06-22T00:49:39Z,20240622004938.937982_SV_webconnectivity_b9e9eea4cb1f7d5c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240622004938.937982_SV_webconnectivity_b9e9eea4cb1f7d5c,AS14754,SV,20240622T004430Z_webconnectivity_SV_14754_n1_pnJgqnynEQTRsrYI,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
