anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://kiwifarms.net/,2023-12-25T16:40:42Z,20231225164043.028591_SV_webconnectivity_a6afe6f5c966eae1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20231225164043.028591_SV_webconnectivity_a6afe6f5c966eae1,AS26617,SV,20231225T163929Z_webconnectivity_SV_26617_n1_amdykHS1tfNpWuIB,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_prod_opendns_1', 'scope': 'prod'}]}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.worldpulse.com/,2024-06-29T20:32:44Z,20240629203244.305934_SV_webconnectivity_0ec0bdeb9d470b00,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629203244.305934_SV_webconnectivity_0ec0bdeb9d470b00,AS14754,SV,20240629T203031Z_webconnectivity_SV_14754_n1_8zy3b4tLodiQ4uUf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://valence.community/,2024-06-29T20:23:30Z,20240629202330.170196_SV_webconnectivity_664bb989cfbd43fd,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629202330.170196_SV_webconnectivity_664bb989cfbd43fd,AS14754,SV,20240629T201857Z_webconnectivity_SV_14754_n1_JFoBRz6GUnJHyuyr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.imqq.com/,2024-06-21T00:04:56Z,20240621000457.276603_SV_webconnectivity_074b5139ef35087b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621000457.276603_SV_webconnectivity_074b5139ef35087b,AS14754,SV,20240621T000108Z_webconnectivity_SV_14754_n1_utIdzWtioJUK04pz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://ebuddy.com/,2024-06-20T00:36:02Z,20240620003603.471607_SV_webconnectivity_dc5b087e3e39cd46,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620003603.471607_SV_webconnectivity_dc5b087e3e39cd46,AS14754,SV,20240620T003312Z_webconnectivity_SV_14754_n1_PW34qrupXLw28xJ8,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://s.pinimg.com/robots.txt,2024-06-19T20:34:16Z,20240619203417.102525_SV_webconnectivity_90b8032d5a1ae069,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619203417.102525_SV_webconnectivity_90b8032d5a1ae069,AS14754,SV,20240619T203010Z_webconnectivity_SV_14754_n1_RaAFLwa1Xy4aKCba,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.yubo.live/,2024-06-19T03:25:00Z,20240619032500.541290_SV_webconnectivity_d658ffe9ea089ac9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619032500.541290_SV_webconnectivity_d658ffe9ea089ac9,AS14754,SV,20240619T032015Z_webconnectivity_SV_14754_n1_tWCgSFLMZGUjuBwh,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://qsbr.fs.quoracdn.net/-4-web.entry.js.out-34-8f7d03da0b7a24ae.webpack,2024-06-19T02:58:14Z,20240619025814.789029_SV_webconnectivity_7be8f5a0f4a5ab7b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619025814.789029_SV_webconnectivity_7be8f5a0f4a5ab7b,AS14754,SV,20240619T024956Z_webconnectivity_SV_14754_n1_rqVkoXve94Z9oyF3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://plus.im/,2024-06-19T02:58:05Z,20240619025805.682200_SV_webconnectivity_b7b1630c063288e7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619025805.682200_SV_webconnectivity_b7b1630c063288e7,AS14754,SV,20240619T024956Z_webconnectivity_SV_14754_n1_rqVkoXve94Z9oyF3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
