anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://nsdapao.info/,2024-06-25T18:43:33Z,20240625184334.746790_SV_webconnectivity_4b29fdda31181811,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625184334.746790_SV_webconnectivity_4b29fdda31181811,AS14754,SV,20240625T183731Z_webconnectivity_SV_14754_n1_WgIVWQhlEDrYrfoo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.churchofeuthanasia.org/,2024-06-21T01:06:43Z,20240621010644.259494_SV_webconnectivity_2e3957deef9485ff,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621010644.259494_SV_webconnectivity_2e3957deef9485ff,AS14754,SV,20240621T005019Z_webconnectivity_SV_14754_n1_ZFJovAKRx8ZPk6PK,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://vho.org/,2024-06-21T00:02:41Z,20240621000242.832320_SV_webconnectivity_a335c01f091b3b52,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621000242.832320_SV_webconnectivity_a335c01f091b3b52,AS14754,SV,20240621T000108Z_webconnectivity_SV_14754_n1_utIdzWtioJUK04pz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://godhatesfags.com/,2024-06-20T00:37:32Z,20240620003733.530052_SV_webconnectivity_0aaaf6923f8137dd,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620003733.530052_SV_webconnectivity_0aaaf6923f8137dd,AS14754,SV,20240620T003312Z_webconnectivity_SV_14754_n1_PW34qrupXLw28xJ8,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.americannaziparty.com/,2024-06-06T01:49:09Z,20240606014909.647787_SV_webconnectivity_6e66c01b1890c6af,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240606014909.647787_SV_webconnectivity_6e66c01b1890c6af,AS14754,SV,20240606T013838Z_webconnectivity_SV_14754_n1_oUS51aRI01oo8PdI,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://dailystormer.in/,2024-06-06T01:45:21Z,20240606014522.002398_SV_webconnectivity_1672c6547a656733,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240606014522.002398_SV_webconnectivity_1672c6547a656733,AS14754,SV,20240606T013838Z_webconnectivity_SV_14754_n1_oUS51aRI01oo8PdI,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://godhatesfags.com/,2024-07-30T03:04:05Z,20240730030405.802313_SV_webconnectivity_51ed323209f1e663,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240730030405.802313_SV_webconnectivity_51ed323209f1e663,AS14754,SV,20240730T025842Z_webconnectivity_SV_14754_n1_Jz2kBOeRjkoLVolo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.churchofeuthanasia.org/,2024-07-26T02:27:02Z,20240726022703.442306_SV_webconnectivity_8dc9443c704d152b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240726022703.442306_SV_webconnectivity_8dc9443c704d152b,AS14754,SV,20240726T022631Z_webconnectivity_SV_14754_n1_IVzKNQ8kyjB0OpfY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://dailystormer.in/,2024-07-24T02:34:02Z,20240724023402.603138_SV_webconnectivity_5f9e1b38250ce55d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240724023402.603138_SV_webconnectivity_5f9e1b38250ce55d,AS14754,SV,20240724T022608Z_webconnectivity_SV_14754_n1_nu5DT7g8EWSLAX5E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
