anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.dotster.com/,2024-06-28T19:27:33Z,20240628192733.764774_SV_webconnectivity_1fdc2705e99b26bb,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628192733.764774_SV_webconnectivity_1fdc2705e99b26bb,AS14754,SV,20240628T192531Z_webconnectivity_SV_14754_n1_WvK4KEmxksIIKld7,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.bing-amp.com/v0/amp-iframe-0.1.js,2024-06-28T19:14:34Z,20240628191435.320687_SV_webconnectivity_4cb50ea5e5ab15f5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628191435.320687_SV_webconnectivity_4cb50ea5e5ab15f5,AS14754,SV,20240628T190825Z_webconnectivity_SV_14754_n1_21W7JfnLbpzJWHxP,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.livejournal.com/,2024-06-28T01:07:17Z,20240628010719.294333_SV_webconnectivity_e5545e5cac272493,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628010719.294333_SV_webconnectivity_e5545e5cac272493,AS14754,SV,20240628T005650Z_webconnectivity_SV_14754_n1_OtGWtVbPMn1vAggF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://telegra.ph/,2024-06-28T00:50:40Z,20240628005041.286342_SV_webconnectivity_4f852b8228bd8483,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628005041.286342_SV_webconnectivity_4f852b8228bd8483,AS14754,SV,20240628T004448Z_webconnectivity_SV_14754_n1_0nkIKEA8SDnuBYXr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://rutube.ru/,2024-06-28T00:49:38Z,20240628004938.775490_SV_webconnectivity_f6c88ec219bbfabe,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628004938.775490_SV_webconnectivity_f6c88ec219bbfabe,AS14754,SV,20240628T004448Z_webconnectivity_SV_14754_n1_0nkIKEA8SDnuBYXr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://letsencrypt.org/,2024-06-27T03:11:28Z,20240627031129.773959_SV_webconnectivity_5028341f2e9c5b52,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627031129.773959_SV_webconnectivity_5028341f2e9c5b52,AS14754,SV,20240627T031103Z_webconnectivity_SV_14754_n1_yT9NZjHBhHlpBtw1,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://git.io/,2024-06-27T02:25:26Z,20240627022527.999813_SV_webconnectivity_c05f75918ef3f800,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627022527.999813_SV_webconnectivity_c05f75918ef3f800,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://espivblogs.net/,2024-06-27T02:23:58Z,20240627022400.188456_SV_webconnectivity_80cb99e612ed32ab,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627022400.188456_SV_webconnectivity_80cb99e612ed32ab,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://codeberg.org/,2024-06-27T02:20:16Z,20240627022017.755468_SV_webconnectivity_19aa02eab7ca0cb9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627022017.755468_SV_webconnectivity_19aa02eab7ca0cb9,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://archive.is/,2024-06-26T10:53:20Z,20240626105321.198269_SV_webconnectivity_a0e228c188ea3955,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626105321.198269_SV_webconnectivity_a0e228c188ea3955,AS27773,SV,20240626T105057Z_webconnectivity_SV_27773_n1_Kqdgf2CqfHttju1h,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
