anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.stopstreetharassment.org/,2024-04-20T10:53:41Z,20240420105341.029511_SV_webconnectivity_7c38f8021bfd14ce,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240420105341.029511_SV_webconnectivity_7c38f8021bfd14ce,AS27729,SV,20240420T104839Z_webconnectivity_SV_27729_n1_obeFoU8soiFD15jn,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://genderandaids.unwomen.org/,2024-06-29T20:38:17Z,20240629203817.530744_SV_webconnectivity_9b429516482620bc,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629203817.530744_SV_webconnectivity_9b429516482620bc,AS14754,SV,20240629T203031Z_webconnectivity_SV_14754_n1_8zy3b4tLodiQ4uUf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://freespeech.org/,2024-06-29T20:37:54Z,20240629203754.129789_SV_webconnectivity_176b97e0dac68976,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629203754.129789_SV_webconnectivity_176b97e0dac68976,AS14754,SV,20240629T203031Z_webconnectivity_SV_14754_n1_8zy3b4tLodiQ4uUf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://feminist.org/,2024-06-29T20:37:31Z,20240629203731.107330_SV_webconnectivity_e3662d4066c384ff,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629203731.107330_SV_webconnectivity_e3662d4066c384ff,AS14754,SV,20240629T203031Z_webconnectivity_SV_14754_n1_8zy3b4tLodiQ4uUf,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.madre.org/,2024-06-29T18:35:39Z,20240629183541.839161_SV_webconnectivity_bba007b1f498d804,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629183541.839161_SV_webconnectivity_bba007b1f498d804,AS14754,SV,20240629T182815Z_webconnectivity_SV_14754_n1_kgNUgZxADl8MoXZY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.ihrc.org/,2024-06-29T18:32:06Z,20240629183208.087908_SV_webconnectivity_3bbab44c1a4b5ba5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629183208.087908_SV_webconnectivity_3bbab44c1a4b5ba5,AS14754,SV,20240629T182815Z_webconnectivity_SV_14754_n1_kgNUgZxADl8MoXZY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.dd-rd.ca/,2024-06-28T02:27:21Z,20240628022722.260167_SV_webconnectivity_8263c07594121ef9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628022722.260167_SV_webconnectivity_8263c07594121ef9,AS14754,SV,20240628T022623Z_webconnectivity_SV_14754_n1_DfMf0xKimjcVy5qo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.cato.org/,2024-06-28T02:26:51Z,20240628022651.771647_SV_webconnectivity_b44cb368650762e7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628022651.771647_SV_webconnectivity_b44cb368650762e7,AS14754,SV,20240628T022623Z_webconnectivity_SV_14754_n1_DfMf0xKimjcVy5qo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.protest.net/,2024-06-25T01:20:35Z,20240625012036.584547_SV_webconnectivity_4e43da7acb76a715,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625012036.584547_SV_webconnectivity_4e43da7acb76a715,AS14754,SV,20240625T005730Z_webconnectivity_SV_14754_n1_j6bQdC2hDPQzGALo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
