anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.iea.org/,2024-06-28T02:48:20Z,20240628024822.411089_SV_webconnectivity_3affb4115d320b1f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628024822.411089_SV_webconnectivity_3affb4115d320b1f,AS14754,SV,20240628T024438Z_webconnectivity_SV_14754_n1_PLOQ2X71co1Yo441,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.isa.org.jm/,2024-06-26T02:11:17Z,20240626021119.317632_SV_webconnectivity_a05949af039c123f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626021119.317632_SV_webconnectivity_a05949af039c123f,AS14754,SV,20240626T015325Z_webconnectivity_SV_14754_n1_g8dj5OHwWo4XNNUj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.globalpolicy.org/,2024-06-26T02:06:02Z,20240626020603.692177_SV_webconnectivity_2dda74234802cb12,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626020603.692177_SV_webconnectivity_2dda74234802cb12,AS14754,SV,20240626T015325Z_webconnectivity_SV_14754_n1_g8dj5OHwWo4XNNUj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ifrc.org/,2024-06-22T00:58:29Z,20240622005829.013409_SV_webconnectivity_b896b804393bbd86,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240622005829.013409_SV_webconnectivity_b896b804393bbd86,AS14754,SV,20240622T005716Z_webconnectivity_SV_14754_n1_rHv5QwMdcBRiSSmp,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://intelligence.weforum.org/,2024-06-21T09:52:09Z,20240621095209.145803_SV_webconnectivity_92f4f009478db656,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621095209.145803_SV_webconnectivity_92f4f009478db656,AS14754,SV,20240621T094823Z_webconnectivity_SV_14754_n1_n9uZNjRNE2oyzwS6,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.opec.org/,2024-06-13T19:56:18Z,20240613195619.829043_SV_webconnectivity_0c7b3881acdbee6e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240613195619.829043_SV_webconnectivity_0c7b3881acdbee6e,AS14754,SV,20240613T195304Z_webconnectivity_SV_14754_n1_9hsWYggBLFBr1HWF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.ibe.unesco.org/,2024-06-12T01:03:33Z,20240612010335.442603_SV_webconnectivity_6b37c7fbda607669,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240612010335.442603_SV_webconnectivity_6b37c7fbda607669,AS14754,SV,20240612T005555Z_webconnectivity_SV_14754_n1_nKLKgKdht5sHK2OZ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.nato.int/,2024-06-05T02:59:38Z,20240605025939.057571_SV_webconnectivity_d84669023c06451e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240605025939.057571_SV_webconnectivity_d84669023c06451e,AS14754,SV,20240605T023401Z_webconnectivity_SV_14754_n1_UlAUmoPaenJPBaTP,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ilo.org/,2024-06-05T02:52:30Z,20240605025230.908387_SV_webconnectivity_6726fae93b3ca7db,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240605025230.908387_SV_webconnectivity_6726fae93b3ca7db,AS14754,SV,20240605T023401Z_webconnectivity_SV_14754_n1_UlAUmoPaenJPBaTP,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://pulse.internetsociety.org/,2024-06-05T01:52:00Z,20240605015200.216923_SV_webconnectivity_3b98ec7f774d1c49,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240605015200.216923_SV_webconnectivity_3b98ec7f774d1c49,AS14754,SV,20240605T014325Z_webconnectivity_SV_14754_n1_O6xgtbG7SmIFOZZ0,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
