anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.samesexmarriage.ca/,2024-06-29T18:41:37Z,20240629184139.653574_SV_webconnectivity_58c1f3f90345207e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629184139.653574_SV_webconnectivity_58c1f3f90345207e,AS14754,SV,20240629T184021Z_webconnectivity_SV_14754_n1_h5RoEA6Vt0ht0lyX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://transsexual.org/,2024-06-28T01:34:18Z,20240628013419.099179_SV_webconnectivity_114467c7b9a88842,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628013419.099179_SV_webconnectivity_114467c7b9a88842,AS14754,SV,20240628T012534Z_webconnectivity_SV_14754_n1_5HOQAV7i1CKWeyS2,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://brothersroad.org/,2024-06-28T01:16:22Z,20240628011624.550985_SV_webconnectivity_63d3b96441ed5c7c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628011624.550985_SV_webconnectivity_63d3b96441ed5c7c,AS14754,SV,20240628T011352Z_webconnectivity_SV_14754_n1_XRymdhyv01huBhO0,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.planetromeo.com/,2024-06-25T01:19:06Z,20240625011907.281226_SV_webconnectivity_39e6122134a7879a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625011907.281226_SV_webconnectivity_39e6122134a7879a,AS14754,SV,20240625T005730Z_webconnectivity_SV_14754_n1_j6bQdC2hDPQzGALo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.nclrights.org/,2024-06-25T00:59:20Z,20240625005921.609402_SV_webconnectivity_900dc2608079bcd4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625005921.609402_SV_webconnectivity_900dc2608079bcd4,AS14754,SV,20240625T005730Z_webconnectivity_SV_14754_n1_j6bQdC2hDPQzGALo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.gayscape.com/,2024-06-25T00:39:47Z,20240625003948.526170_SV_webconnectivity_72d4e0c7fac10ba3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625003948.526170_SV_webconnectivity_72d4e0c7fac10ba3,AS14754,SV,20240625T003656Z_webconnectivity_SV_14754_n1_kndeLYzLN4zyfZlk,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.nifty.org/,2024-06-24T02:35:07Z,20240624023508.299228_SV_webconnectivity_d7b451a7cdf90ed9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240624023508.299228_SV_webconnectivity_d7b451a7cdf90ed9,AS14754,SV,20240624T021607Z_webconnectivity_SV_14754_n1_L646oe3SoESWEqK3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ilga-europe.org/,2024-06-24T02:27:13Z,20240624022714.862328_SV_webconnectivity_9ddb25f68ff8e08a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240624022714.862328_SV_webconnectivity_9ddb25f68ff8e08a,AS14754,SV,20240624T021607Z_webconnectivity_SV_14754_n1_L646oe3SoESWEqK3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.stonewall.org.uk/,2024-06-21T15:29:40Z,20240621152941.480878_SV_webconnectivity_fcbddb610264b4d7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621152941.480878_SV_webconnectivity_fcbddb610264b4d7,AS14754,SV,20240621T152539Z_webconnectivity_SV_14754_n1_HwIFqiRKn6fMAghJ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.gaystarnews.com/,2024-06-21T13:29:00Z,20240621132900.455500_SV_webconnectivity_ed7e83d17cbb9b09,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621132900.455500_SV_webconnectivity_ed7e83d17cbb9b09,AS14754,SV,20240621T132505Z_webconnectivity_SV_14754_n1_RXsY72crlIryyX5m,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
