anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.youtube.com/,2024-06-29T20:09:16Z,20240629200916.733555_SV_webconnectivity_7848b62a03a92ea9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240629200916.733555_SV_webconnectivity_7848b62a03a92ea9,AS14754,SV,20240629T200858Z_webconnectivity_SV_14754_n1_T5np8UjJodogAG3S,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.instagram.com/,2024-06-20T02:16:03Z,20240620021603.469541_SV_webconnectivity_3bc0057447d432c2,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620021603.469541_SV_webconnectivity_3bc0057447d432c2,AS14754,SV,20240620T021537Z_webconnectivity_SV_14754_n1_xryljoxtpPoDvaHh,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.photobucket.com/,2024-06-19T02:53:12Z,20240619025312.932510_SV_webconnectivity_c136004f0d029378,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619025312.932510_SV_webconnectivity_c136004f0d029378,AS14754,SV,20240619T024956Z_webconnectivity_SV_14754_n1_rqVkoXve94Z9oyF3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.liveleak.com/,2024-06-19T02:51:03Z,20240619025103.694192_SV_webconnectivity_0b70b746e603f65a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619025103.694192_SV_webconnectivity_0b70b746e603f65a,AS14754,SV,20240619T024956Z_webconnectivity_SV_14754_n1_rqVkoXve94Z9oyF3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.tango.me/,2024-06-19T02:44:10Z,20240619024410.091835_SV_webconnectivity_bd01c58d55fb6f36,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619024410.091835_SV_webconnectivity_bd01c58d55fb6f36,AS14754,SV,20240619T023601Z_webconnectivity_SV_14754_n1_THHvCXRo04DMHCAn,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://pinboard.in/,2024-06-19T02:32:04Z,20240619023204.765130_SV_webconnectivity_33017730ff7e7466,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619023204.765130_SV_webconnectivity_33017730ff7e7466,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://cinemata.org/,2024-06-19T02:29:24Z,20240619022925.527184_SV_webconnectivity_7baa565744f44fc9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619022925.527184_SV_webconnectivity_7baa565744f44fc9,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://spideroak.com/,2024-07-30T02:36:54Z,20240730023654.754481_SV_webconnectivity_4728c9d7cac5a3da,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240730023654.754481_SV_webconnectivity_4728c9d7cac5a3da,AS14754,SV,20240730T023117Z_webconnectivity_SV_14754_n1_DyyqdVSQr3og5EoJ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.transferbigfiles.com/,2024-07-29T02:17:58Z,20240729021759.193162_SV_webconnectivity_8ad86c24a4dda532,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240729021759.193162_SV_webconnectivity_8ad86c24a4dda532,AS14754,SV,20240729T021614Z_webconnectivity_SV_14754_n1_A5aLXF8dyJIz3762,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.tango.me/,2024-07-29T02:17:16Z,20240729021717.295642_SV_webconnectivity_76dc4843baaa0232,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240729021717.295642_SV_webconnectivity_76dc4843baaa0232,AS14754,SV,20240729T021614Z_webconnectivity_SV_14754_n1_A5aLXF8dyJIz3762,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.veoh.com/,2024-07-25T00:29:22Z,20240725002922.974100_SV_webconnectivity_ccb3156610ea93d2,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240725002922.974100_SV_webconnectivity_ccb3156610ea93d2,AS14754,SV,20240725T002253Z_webconnectivity_SV_14754_n1_4hOiZaE6eom9TIQw,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ushareit.com/,2024-07-24T01:58:32Z,20240724015832.747841_SV_webconnectivity_7a5e446260e53e29,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240724015832.747841_SV_webconnectivity_7a5e446260e53e29,AS14754,SV,20240724T015332Z_webconnectivity_SV_14754_n1_7k6VgywiLsKr8ZUV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.photobucket.com/,2024-07-20T02:59:57Z,20240720025959.478646_SV_webconnectivity_2acfbe660f181a05,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240720025959.478646_SV_webconnectivity_2acfbe660f181a05,AS14754,SV,20240720T025206Z_webconnectivity_SV_14754_n1_vF9yMEHUUqUB0vNh,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.fotki.com/,2024-07-20T02:52:47Z,20240720025249.515215_SV_webconnectivity_f61eafc8f5b9165f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240720025249.515215_SV_webconnectivity_f61eafc8f5b9165f,AS14754,SV,20240720T025206Z_webconnectivity_SV_14754_n1_vF9yMEHUUqUB0vNh,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.netflix.com/,2024-07-17T00:37:07Z,20240717003707.975636_SV_webconnectivity_9c268bf9398d5c1f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240717003707.975636_SV_webconnectivity_9c268bf9398d5c1f,AS14754,SV,20240717T002653Z_webconnectivity_SV_14754_n1_GxKrwRI5NDXMmJoK,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
