anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.hizb-ut-tahrir.org/,2024-06-25T18:52:55Z,20240625185255.901170_SV_webconnectivity_0015f117972e8a8a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625185255.901170_SV_webconnectivity_0015f117972e8a8a,AS27773,SV,20240625T185234Z_webconnectivity_SV_27773_n1_CZo2QLicdGoSqIvO,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.khilafah.com/,2024-06-21T02:37:55Z,20240621023756.443551_SV_webconnectivity_25b7d9b14aec6845,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621023756.443551_SV_webconnectivity_25b7d9b14aec6845,AS14754,SV,20240621T022031Z_webconnectivity_SV_14754_n1_jieovhNR7fjRaFRF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.idea.int/,2024-06-21T02:34:18Z,20240621023419.361667_SV_webconnectivity_b02467031ed4185c,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621023419.361667_SV_webconnectivity_b02467031ed4185c,AS14754,SV,20240621T022031Z_webconnectivity_SV_14754_n1_jieovhNR7fjRaFRF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.icj.org/,2024-06-21T02:33:46Z,20240621023347.012962_SV_webconnectivity_2e029984fae009f9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621023347.012962_SV_webconnectivity_2e029984fae009f9,AS14754,SV,20240621T022031Z_webconnectivity_SV_14754_n1_jieovhNR7fjRaFRF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://freespeechdebate.com/,2024-06-21T00:09:49Z,20240621000950.122643_SV_webconnectivity_fc3eb188f856cbb7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621000950.122643_SV_webconnectivity_fc3eb188f856cbb7,AS14754,SV,20240621T000108Z_webconnectivity_SV_14754_n1_utIdzWtioJUK04pz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://disclose.ngo/,2024-06-21T00:07:41Z,20240621000742.840978_SV_webconnectivity_e9ff95af720eb08e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621000742.840978_SV_webconnectivity_e9ff95af720eb08e,AS14754,SV,20240621T000108Z_webconnectivity_SV_14754_n1_utIdzWtioJUK04pz,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.jihadwatch.org/,2024-06-20T02:23:31Z,20240620022331.592175_SV_webconnectivity_89bdbccd6bca13a3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620022331.592175_SV_webconnectivity_89bdbccd6bca13a3,AS14754,SV,20240620T021537Z_webconnectivity_SV_14754_n1_xryljoxtpPoDvaHh,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.inminds.co.uk/,2024-06-20T02:22:29Z,20240620022229.334207_SV_webconnectivity_f3b2c7b77549b835,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620022229.334207_SV_webconnectivity_f3b2c7b77549b835,AS14754,SV,20240620T021537Z_webconnectivity_SV_14754_n1_xryljoxtpPoDvaHh,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.democracycaucus.net/,2024-06-20T02:12:35Z,20240620021236.383122_SV_webconnectivity_61cc7e773b013e9f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620021236.383122_SV_webconnectivity_61cc7e773b013e9f,AS14754,SV,20240620T020513Z_webconnectivity_SV_14754_n1_F63otb0QljkFrGl8,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://pirateparty.org.au/,2024-06-20T01:50:12Z,20240620015013.312849_SV_webconnectivity_29d1a4e338321c4a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620015013.312849_SV_webconnectivity_29d1a4e338321c4a,AS14754,SV,20240620T014612Z_webconnectivity_SV_14754_n1_1RY5dbBBNP28CgGs,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
