anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://nextstrain.org/ncov,2024-06-28T03:30:53Z,20240628033053.734529_SV_webconnectivity_ed790b9c4fd2f889,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628033053.734529_SV_webconnectivity_ed790b9c4fd2f889,AS14754,SV,20240628T032605Z_webconnectivity_SV_14754_n1_JMW4VMsbSxyuXmgK,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.mariestopes.org.uk/,2024-06-26T00:47:55Z,20240626004757.305394_SV_webconnectivity_fc8da80fdd2af6df,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626004757.305394_SV_webconnectivity_fc8da80fdd2af6df,AS14754,SV,20240626T004110Z_webconnectivity_SV_14754_n1_mHIBEuf709QEAW0o,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.implantinfo.com/,2024-06-26T00:45:50Z,20240626004552.258076_SV_webconnectivity_2e00b3ce9538a9c1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240626004552.258076_SV_webconnectivity_2e00b3ce9538a9c1,AS14754,SV,20240626T004110Z_webconnectivity_SV_14754_n1_mHIBEuf709QEAW0o,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://apps.crowdtangle.com/public-hub/covid19,2024-06-25T02:25:37Z,20240625022538.787118_SV_webconnectivity_778fb9f8a2763cc5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625022538.787118_SV_webconnectivity_778fb9f8a2763cc5,AS14754,SV,20240625T022102Z_webconnectivity_SV_14754_n1_uAelOFhEmy1ZgDic,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://app.developer.here.com/coronavirus/,2024-06-25T02:25:01Z,20240625022502.536451_SV_webconnectivity_e9b3a214d42703c6,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625022502.536451_SV_webconnectivity_e9b3a214d42703c6,AS14754,SV,20240625T022102Z_webconnectivity_SV_14754_n1_uAelOFhEmy1ZgDic,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://covidtracking.com/,2024-06-21T16:14:21Z,20240621161421.954481_SV_webconnectivity_e1f29358485c07c0,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240621161421.954481_SV_webconnectivity_e1f29358485c07c0,AS14754,SV,20240621T161011Z_webconnectivity_SV_14754_n1_EoGkmcXr3unDYckj,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://coronavirus.app/,2024-06-19T20:30:23Z,20240619203024.034321_SV_webconnectivity_3d6ec12a266050f5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619203024.034321_SV_webconnectivity_3d6ec12a266050f5,AS14754,SV,20240619T203010Z_webconnectivity_SV_14754_n1_RaAFLwa1Xy4aKCba,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.theglobalfund.org/,2024-06-19T02:53:47Z,20240619025347.842270_SV_webconnectivity_daaf838192109410,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619025347.842270_SV_webconnectivity_daaf838192109410,AS14754,SV,20240619T024956Z_webconnectivity_SV_14754_n1_rqVkoXve94Z9oyF3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.cirp.org/,2024-06-19T02:50:29Z,20240619025029.120988_SV_webconnectivity_978a77d695748b59,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619025029.120988_SV_webconnectivity_978a77d695748b59,AS14754,SV,20240619T024956Z_webconnectivity_SV_14754_n1_rqVkoXve94Z9oyF3,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.worldometers.info/coronavirus/,2024-06-19T02:45:47Z,20240619024547.172591_SV_webconnectivity_aff3934199c5e76f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619024547.172591_SV_webconnectivity_aff3934199c5e76f,AS14754,SV,20240619T023601Z_webconnectivity_SV_14754_n1_THHvCXRo04DMHCAn,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.medecinsdumonde.org/,2024-06-19T02:40:44Z,20240619024044.381641_SV_webconnectivity_d78e288cbf415b8f,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619024044.381641_SV_webconnectivity_d78e288cbf415b8f,AS14754,SV,20240619T023601Z_webconnectivity_SV_14754_n1_THHvCXRo04DMHCAn,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.healthmap.org/covid-19/,2024-06-19T02:37:36Z,20240619023737.544820_SV_webconnectivity_dfdeabf0cc0701d4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619023737.544820_SV_webconnectivity_dfdeabf0cc0701d4,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.euthanasia.cc/,2024-06-19T02:35:50Z,20240619023551.270866_SV_webconnectivity_7dd257ee96cfc413,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619023551.270866_SV_webconnectivity_7dd257ee96cfc413,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases,2024-06-19T02:35:27Z,20240619023528.256273_SV_webconnectivity_8cd644891dafbad7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619023528.256273_SV_webconnectivity_8cd644891dafbad7,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://support.therapytribe.com/hivaids-support-group/,2024-06-19T02:32:57Z,20240619023257.705862_SV_webconnectivity_e532a8fdce661417,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619023257.705862_SV_webconnectivity_e532a8fdce661417,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://icao.maps.arcgis.com/apps/webappviewer3d/index.html?id=d9d3f8fa9a23425c8f0889baab626186,2024-06-19T02:29:39Z,20240619022940.373968_SV_webconnectivity_06e5770d11b6df71,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240619022940.373968_SV_webconnectivity_06e5770d11b6df71,AS14754,SV,20240619T022555Z_webconnectivity_SV_14754_n1_OTO8jwo7MqUzK7vD,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
