anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.islamdoor.com/,2024-06-28T19:30:16Z,20240628193017.392210_SV_webconnectivity_805180bcbe6c38e2,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628193017.392210_SV_webconnectivity_805180bcbe6c38e2,AS14754,SV,20240628T192531Z_webconnectivity_SV_14754_n1_WvK4KEmxksIIKld7,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.om.org/,2024-06-28T01:09:04Z,20240628010906.480614_SV_webconnectivity_eed216e2aecebe65,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628010906.480614_SV_webconnectivity_eed216e2aecebe65,AS14754,SV,20240628T005650Z_webconnectivity_SV_14754_n1_OtGWtVbPMn1vAggF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.muhammadanism.com/,2024-06-28T01:07:32Z,20240628010734.551185_SV_webconnectivity_e20d468a5afdd00d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628010734.551185_SV_webconnectivity_e20d468a5afdd00d,AS14754,SV,20240628T005650Z_webconnectivity_SV_14754_n1_OtGWtVbPMn1vAggF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.islameyat.com/,2024-06-28T01:05:35Z,20240628010537.593605_SV_webconnectivity_0e8734684f0494f8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628010537.593605_SV_webconnectivity_0e8734684f0494f8,AS14754,SV,20240628T005650Z_webconnectivity_SV_14754_n1_OtGWtVbPMn1vAggF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.episcopalchurch.org/,2024-06-28T01:02:00Z,20240628010202.551616_SV_webconnectivity_36111729a89e188e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628010202.551616_SV_webconnectivity_36111729a89e188e,AS14754,SV,20240628T005650Z_webconnectivity_SV_14754_n1_OtGWtVbPMn1vAggF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ccel.org/,2024-06-28T00:59:14Z,20240628005916.045222_SV_webconnectivity_ea5693e15896ddd3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628005916.045222_SV_webconnectivity_ea5693e15896ddd3,AS14754,SV,20240628T005650Z_webconnectivity_SV_14754_n1_OtGWtVbPMn1vAggF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://krishna.com/,2024-06-28T00:47:02Z,20240628004702.506606_SV_webconnectivity_28092e1ec53c8030,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628004702.506606_SV_webconnectivity_28092e1ec53c8030,AS14754,SV,20240628T004448Z_webconnectivity_SV_14754_n1_0nkIKEA8SDnuBYXr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://isaalmasih.net/,2024-06-28T00:41:20Z,20240628004121.003634_SV_webconnectivity_4fbd600d5bebf4d2,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628004121.003634_SV_webconnectivity_4fbd600d5bebf4d2,AS14754,SV,20240628T003514Z_webconnectivity_SV_14754_n1_lM8Q3eRovdSNrXMO,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://iarf.net/,2024-06-27T02:26:25Z,20240627022627.029229_SV_webconnectivity_cf6dfca1b7819972,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627022627.029229_SV_webconnectivity_cf6dfca1b7819972,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://churchofgodinchristmennonite.net/,2024-06-27T02:19:38Z,20240627021940.015169_SV_webconnectivity_b7eca67c1beb757a,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627021940.015169_SV_webconnectivity_b7eca67c1beb757a,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.godalone.org/,2024-06-25T01:32:33Z,20240625013234.080206_SV_webconnectivity_21d8d938b0fc1a00,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625013234.080206_SV_webconnectivity_21d8d938b0fc1a00,AS269734,SV,20240625T012035Z_webconnectivity_SV_269734_n1_XeWYflJGjMD20C79,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ceceurope.org/,2024-06-25T01:26:38Z,20240625012639.545695_SV_webconnectivity_ad3733a637d4b073,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625012639.545695_SV_webconnectivity_ad3733a637d4b073,AS269734,SV,20240625T012035Z_webconnectivity_SV_269734_n1_XeWYflJGjMD20C79,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.bahai.org/,2024-06-25T01:24:17Z,20240625012418.332570_SV_webconnectivity_d16a11645115cf26,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625012418.332570_SV_webconnectivity_d16a11645115cf26,AS269734,SV,20240625T012035Z_webconnectivity_SV_269734_n1_XeWYflJGjMD20C79,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
