anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://external-content.duckduckgo.com/robots.txt,2024-06-22T02:28:28Z,20240622022828.167125_SV_webconnectivity_b8e8c1705a02e606,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240622022828.167125_SV_webconnectivity_b8e8c1705a02e606,AS14754,SV,20240622T022517Z_webconnectivity_SV_14754_n1_wCYnDCbqgcb3f8km,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.excite.com/,2024-07-30T02:40:01Z,20240730024001.842534_SV_webconnectivity_dcb80a034b962557,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240730024001.842534_SV_webconnectivity_dcb80a034b962557,AS14754,SV,20240730T023117Z_webconnectivity_SV_14754_n1_DyyqdVSQr3og5EoJ,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.mamma.com/,2024-07-29T01:13:55Z,20240729011356.316630_SV_webconnectivity_d89ae526c9fe2635,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240729011356.316630_SV_webconnectivity_d89ae526c9fe2635,AS14754,SV,20240729T010828Z_webconnectivity_SV_14754_n1_uG2Kzd99YP7vtE1o,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://search.aol.com/,2024-07-25T00:15:32Z,20240725001532.771396_SV_webconnectivity_16674f3770188399,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240725001532.771396_SV_webconnectivity_16674f3770188399,AS14754,SV,20240725T001349Z_webconnectivity_SV_14754_n1_zSUxGfFT10uVw1sn,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.yahoo.com/,2024-07-24T01:59:40Z,20240724015940.974390_SV_webconnectivity_1cdd3ebbc5ca5bbb,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240724015940.974390_SV_webconnectivity_1cdd3ebbc5ca5bbb,AS14754,SV,20240724T015332Z_webconnectivity_SV_14754_n1_7k6VgywiLsKr8ZUV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.ananzi.co.za/,2024-07-20T02:46:08Z,20240720024609.564935_SV_webconnectivity_7d86e75bcee4ef1d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240720024609.564935_SV_webconnectivity_7d86e75bcee4ef1d,AS14754,SV,20240720T023755Z_webconnectivity_SV_14754_n1_oGJc0boKuAbh0R4T,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.search.com/,2024-07-17T00:46:54Z,20240717004654.568569_SV_webconnectivity_31fd549061ecb1a8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240717004654.568569_SV_webconnectivity_31fd549061ecb1a8,AS14754,SV,20240717T004123Z_webconnectivity_SV_14754_n1_JhZdGHUFOZi5jf74,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://tse1.explicit.bing.net/robots.txt,2024-08-26T02:43:27Z,20240826024338.223948_SV_webconnectivity_aaa402189315f28e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240826024338.223948_SV_webconnectivity_aaa402189315f28e,AS14754,SV,20240826T023657Z_webconnectivity_SV_14754_n1_n1Kamwy3rk8YlDuC,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
