anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://www.positive.org/,2024-06-28T01:09:50Z,20240628010952.422104_SV_webconnectivity_47d7f7750f509566,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240628010952.422104_SV_webconnectivity_47d7f7750f509566,AS14754,SV,20240628T005650Z_webconnectivity_SV_14754_n1_OtGWtVbPMn1vAggF,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://abortionpillinfo.org/,2024-06-27T02:17:52Z,20240627021753.797527_SV_webconnectivity_1d7c0a7f6e86b8a8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627021753.797527_SV_webconnectivity_1d7c0a7f6e86b8a8,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://abortionnetwork.amsterdam/,2024-06-27T02:17:40Z,20240627021742.526044_SV_webconnectivity_bd3ca84048990a5b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627021742.526044_SV_webconnectivity_bd3ca84048990a5b,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://abortion.eu/,2024-06-27T02:17:22Z,20240627021723.884162_SV_webconnectivity_e9b360cdf6359e6b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240627021723.884162_SV_webconnectivity_e9b360cdf6359e6b,AS14754,SV,20240627T021454Z_webconnectivity_SV_14754_n1_aoB0rNR2ipSaLM2E,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.abortionno.org/,2024-06-25T01:22:07Z,20240625012208.714491_SV_webconnectivity_9d1384d22993d6d3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240625012208.714491_SV_webconnectivity_9d1384d22993d6d3,AS269734,SV,20240625T012035Z_webconnectivity_SV_269734_n1_XeWYflJGjMD20C79,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.advocatesforyouth.org/,2024-06-20T15:42:28Z,20240620154229.070145_SV_webconnectivity_2edfd711a3764bdd,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620154229.070145_SV_webconnectivity_2edfd711a3764bdd,AS14754,SV,20240620T153656Z_webconnectivity_SV_14754_n1_Kwgbyp575GBNXXoo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.abortoinfosegura.com/,2024-06-20T15:42:13Z,20240620154214.322356_SV_webconnectivity_bc28659b808b50d5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620154214.322356_SV_webconnectivity_bc28659b808b50d5,AS14754,SV,20240620T153656Z_webconnectivity_SV_14754_n1_Kwgbyp575GBNXXoo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://sexetc.org/,2024-06-20T15:40:01Z,20240620154002.535974_SV_webconnectivity_9971743fee671895,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240620154002.535974_SV_webconnectivity_9971743fee671895,AS14754,SV,20240620T153656Z_webconnectivity_SV_14754_n1_Kwgbyp575GBNXXoo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.beintheknow.org/,2024-06-18T16:58:18Z,20240618165819.383601_SV_webconnectivity_96f3698c641f41fd,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240618165819.383601_SV_webconnectivity_96f3698c641f41fd,AS14754,SV,20240618T165626Z_webconnectivity_SV_14754_n1_1dUKo1tD8n16b1BX,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.1800respect.org.au/languages/,2024-06-18T16:52:23Z,20240618165223.949311_SV_webconnectivity_feec3eef164feaa9,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20240618165223.949311_SV_webconnectivity_feec3eef164feaa9,AS14754,SV,20240618T164119Z_webconnectivity_SV_14754_n1_AwyhlTH4oqMxgsw5,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
