anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,http://rojadirecta.com,2024-11-24T22:25:21Z,20241124222523.569045_UY_webconnectivity_f7adb233ab1c83af,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222523.569045_UY_webconnectivity_f7adb233ab1c83af,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://22bet.com/,2024-11-24T22:25:00Z,20241124222502.787573_UY_webconnectivity_c91f95a6ac9cd9d2,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222502.787573_UY_webconnectivity_c91f95a6ac9cd9d2,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://1xbet.com/,2024-11-24T22:24:59Z,20241124222501.355617_UY_webconnectivity_884e6790ead626d3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222501.355617_UY_webconnectivity_884e6790ead626d3,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://betway.com/,2024-11-24T22:24:57Z,20241124222459.879286_UY_webconnectivity_e6f207f782a69b12,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222459.879286_UY_webconnectivity_e6f207f782a69b12,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://sports.bwin.com/,2024-11-24T22:24:56Z,20241124222458.281123_UY_webconnectivity_fc1241ae62cecc16,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222458.281123_UY_webconnectivity_fc1241ae62cecc16,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.betonline.ag/,2024-11-24T22:24:55Z,20241124222456.758049_UY_webconnectivity_0e691ec0fa4dc121,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222456.758049_UY_webconnectivity_0e691ec0fa4dc121,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.sportsbetting.ag/,2024-11-24T22:24:54Z,20241124222455.888258_UY_webconnectivity_f4db617b2fcb3b55,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222455.888258_UY_webconnectivity_f4db617b2fcb3b55,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.bovada.lv/,2024-11-24T22:24:48Z,20241124222454.876427_UY_webconnectivity_e93b0a344bdf7dc4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222454.876427_UY_webconnectivity_e93b0a344bdf7dc4,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://doh-fi.blahdns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,2024-11-24T22:24:47Z,20241124222449.372443_UY_webconnectivity_da29dfac60ea91b8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222449.372443_UY_webconnectivity_da29dfac60ea91b8,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://cloudflare-ipfs.com/,2024-11-24T22:24:47Z,20241124222448.686018_UY_webconnectivity_883ca316a4a5f015,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241124222448.686018_UY_webconnectivity_883ca316a4a5f015,AS6057,UY,20241124T211417Z_webconnectivity_UY_6057_n1_VpodEpo17JmSxnev,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
