Denunciante;URL o dominio denunciado;Plazo de bloqueo (días);Enlace a Resolución de URSEC
Consorcio Cable Visión San José;librefutboltv.com;30;Resolución N° 78/023 de 10 de mayo de 2023
Consorcio Cable Visión San José;sfntv.xyz;30;Resolución N° 78/023 de 10 de mayo de 2023
Consorcio Cable Visión San José;https://futbollibre.lol/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://futbol-libre.org/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://futbollibrehd.com/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://futbollibrehd.com/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://futbol-libre.tv/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://www.pirlo.tv/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://sfndeportes.com/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://megatelevisionhd.live/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://futbolparatodos.online/es/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://pelotalibre.com/;30;Resolución N° 125/023 de 26 de junio de 2023
Consorcio Cable Visión San José;https://megadeportes.xyz/;30;Resolución N° 125/023 de 26 de junio de 2023
Directv del Uruguay Ltda;https://playtvmax.com/;30;Resolución N° 143/023 de 13 de julio de 2023
Directv del Uruguay Ltda;http://moontools.me/;30;Resolución N° 143/023 de 13 de julio de 2023
Directv del Uruguay Ltda;http://mylatinotvmoon.com/;30;Resolución N° 143/023 de 13 de julio de 2023
Florida Satelital Srl;https://krakentv.pro/;30;Resolución N° 144/023 de 13 de julio de 2023
Florida Satelital Srl;http://www.listasiptvactualizadas.com/;30;Resolución N° 144/023 de 13 de julio de 2023
Florida Satelital Srl;https://www.vertvcable.com/;30;Resolución N° 173/023 de 03 de agosto de 2023
Florida Satelital Srl;https://cablegratis.online/;30;Resolución N° 173/023 de 03 de agosto de 2023
Directv del Uruguay Ltda;https://canales.online/;30;Resolución N° 179/023 de 17 de agosto de 2023
Directv del Uruguay Ltda;https://librefutboltv.com/;30;Resolución N° 179/023 de 17 de agosto de 2023
Directv del Uruguay Ltda;https://tvplusgratis.com/;30;Resolución N° 179/023 de 17 de agosto de 2023
Directv del Uruguay Ltda;https://futbollibre.app/;30;Resolución N° 179/023 de 17 de agosto de 2023
Directv del Uruguay Ltda;https://www.rojadirectaenvivo.club/;30;Resolución N° 179/023 de 17 de agosto de 2023
Directv del Uruguay Ltda;https://www.rojadirectaenvivo.fr/;30;Resolución N° 179/023 de 17 de agosto de 2023
Directv del Uruguay Ltda;https://www.televisiongratishd.com/;30;Resolución N° 179/023 de 17 de agosto de 2023
Directv del Uruguay Ltda;https://rojadirectatvlive.me/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://megadeportes.xyz/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;"https://futbollibre.click/;";30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;"https://futbollibre.futbol/;";30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://www.futbollibre.run/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://latele-envivo.com/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://librefutbol.su/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://televisiongratishd.com/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://telegratishd.com/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://tarjetarojatvonline.sx/;30;Resolución N° 265/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://portalbarranca.com/;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://futbolfullenvivo.com/;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://rojadirectaenvivo.me;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://tvplusgratis.com;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://futbolparatodostv.com;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://sfndeportes.com/;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://pelotalibre.com/;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://megadeportes.xyz;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://rojadirectatvhd.com/;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://rojadirectatvhd.it;30;Resolución N° 264/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://futbollibre.lol/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://megatelevisionhd.com/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://rojadirectatvhd.es/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://sfntv.xyz/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://pirlotv.fr/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://futbol-libre.org/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://futbollibrehd.com/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://vertvcable.com/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://canales.online/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://cablegratis.online/;30;Resolución N° 263/023 de 12 de octubre de 2023
Directv del Uruguay Ltda;https://teleriumtv.run/;30;Resolución N° 299/023 de 1 de noviembre de 2023
Directv del Uruguay Ltda;https://pirlotv.app/;30;Resolución N° 299/023 de 1 de noviembre de 2023
