anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.y2mate.com/,2024-11-17T13:31:52Z,20241117133154.387060_AR_webconnectivity_22f3b33f6bdf8359,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241117133154.387060_AR_webconnectivity_22f3b33f6bdf8359,AS7303,AR,20241117T132655Z_webconnectivity_AR_7303_n1_Q07oXwHufG7mNqsg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.search.com/,2024-11-17T13:28:36Z,20241117132838.108931_AR_webconnectivity_3c0a7fea9f1502a7,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241117132838.108931_AR_webconnectivity_3c0a7fea9f1502a7,AS7303,AR,20241117T132655Z_webconnectivity_AR_7303_n1_Q07oXwHufG7mNqsg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.on-instant.com/,2024-11-17T13:27:39Z,20241117132741.583316_AR_webconnectivity_3a33b4b1a3d25212,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241117132741.583316_AR_webconnectivity_3a33b4b1a3d25212,AS7303,AR,20241117T132655Z_webconnectivity_AR_7303_n1_Q07oXwHufG7mNqsg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.match.com/,2024-11-16T17:37:07Z,20241116173711.088025_AR_webconnectivity_eb949c52579fb8cb,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116173711.088025_AR_webconnectivity_eb949c52579fb8cb,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.globet.com/,2024-11-16T17:34:11Z,20241116173413.929436_AR_webconnectivity_4e8cae1387b33029,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116173413.929436_AR_webconnectivity_4e8cae1387b33029,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.europacasino.com/,2024-11-16T17:32:48Z,20241116173250.567502_AR_webconnectivity_be2698a134e56b68,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116173250.567502_AR_webconnectivity_be2698a134e56b68,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.eurogrand.com/,2024-11-16T17:32:45Z,20241116173248.892641_AR_webconnectivity_66f90ac0a97224a1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116173248.892641_AR_webconnectivity_66f90ac0a97224a1,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.casinotropez.com/,2024-11-16T17:30:08Z,20241116173010.137462_AR_webconnectivity_b966b3783565db50,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116173010.137462_AR_webconnectivity_b966b3783565db50,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.casino.com/,2024-11-16T17:30:06Z,20241116173009.148651_AR_webconnectivity_fc635a59881dd1b0,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116173009.148651_AR_webconnectivity_fc635a59881dd1b0,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.betfair.com/,2024-11-16T17:26:07Z,20241116172609.638549_AR_webconnectivity_ee5439697f2b2d2d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116172609.638549_AR_webconnectivity_ee5439697f2b2d2d,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.888casino.com/,2024-11-16T17:22:21Z,20241116172223.772191_AR_webconnectivity_9d904147e3d01ca1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116172223.772191_AR_webconnectivity_9d904147e3d01ca1,AS7303,AR,20241116T171954Z_webconnectivity_AR_7303_n1_dYqKUGs9h05vM0fV,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.mp3.com/,2024-11-16T16:28:37Z,20241116162838.919972_AR_webconnectivity_3a56dca5f49ea0d8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116162838.919972_AR_webconnectivity_3a56dca5f49ea0d8,AS7303,AR,20241116T162710Z_webconnectivity_AR_7303_n1_XOaqoZnShzNVVn7T,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.mnr.gov.cn/,2024-11-16T16:28:23Z,20241116162833.491308_AR_webconnectivity_ecf805999ab048f4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116162833.491308_AR_webconnectivity_ecf805999ab048f4,AS7303,AR,20241116T162710Z_webconnectivity_AR_7303_n1_XOaqoZnShzNVVn7T,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.mapuchenative.com/,2024-11-16T16:28:13Z,20241116162815.674745_AR_webconnectivity_a789218e56dd8f5e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116162815.674745_AR_webconnectivity_a789218e56dd8f5e,AS7303,AR,20241116T162710Z_webconnectivity_AR_7303_n1_XOaqoZnShzNVVn7T,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://thepiratebay.org/,2024-11-16T16:17:09Z,20241116161711.503379_AR_webconnectivity_95099c9e27a49039,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116161711.503379_AR_webconnectivity_95099c9e27a49039,AS7303,AR,20241116T161159Z_webconnectivity_AR_7303_n1_4rgs2Ox8oVETZeJr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://libgen.me/,2024-11-16T16:13:16Z,20241116161318.641242_AR_webconnectivity_ca8e772b8b0282f8,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241116161318.641242_AR_webconnectivity_ca8e772b8b0282f8,AS7303,AR,20241116T161159Z_webconnectivity_AR_7303_n1_4rgs2Ox8oVETZeJr,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
