anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://azonnali.hu/,2024-11-19T20:59:42Z,20241119205942.589061_HU_webconnectivity_e1515a2f449cbad3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119205942.589061_HU_webconnectivity_e1515a2f449cbad3,AS20845,HU,20241119T205928Z_webconnectivity_HU_20845_n1_Eltf5PNT3OrhPex8,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://ajtk.hu/,2024-11-19T20:00:48Z,20241119200100.737666_HU_webconnectivity_fd47fe3eaa801480,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119200100.737666_HU_webconnectivity_fd47fe3eaa801480,AS20845,HU,20241119T195818Z_webconnectivity_HU_20845_n1_jDgLYVCAhp4SfUsG,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.mp3.com/,2024-11-19T19:58:21Z,20241119195822.387197_HU_webconnectivity_ff9ca3494d9fa154,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119195822.387197_HU_webconnectivity_ff9ca3494d9fa154,AS20845,HU,20241119T195818Z_webconnectivity_HU_20845_n1_jDgLYVCAhp4SfUsG,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.instagram.com/,2024-11-19T19:28:52Z,20241119192853.503017_HU_webconnectivity_e22df88756a006fe,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119192853.503017_HU_webconnectivity_e22df88756a006fe,AS9009,HU,20241119T192847Z_webconnectivity_HU_9009_n1_2tkQC9uQ4s1mZayR,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.facebook.com/,2024-11-19T19:28:50Z,20241119192851.715951_HU_webconnectivity_2663f9f2596c90f4,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119192851.715951_HU_webconnectivity_2663f9f2596c90f4,AS9009,HU,20241119T192847Z_webconnectivity_HU_9009_n1_2tkQC9uQ4s1mZayR,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://twitter.com/,2024-11-19T19:28:47Z,20241119192850.285974_HU_webconnectivity_c1ce501f3a110cf1,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119192850.285974_HU_webconnectivity_c1ce501f3a110cf1,AS9009,HU,20241119T192847Z_webconnectivity_HU_9009_n1_2tkQC9uQ4s1mZayR,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.1tv.ru/,2024-11-19T19:04:00Z,20241119190401.283975_HU_webconnectivity_277169a12b02d546,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119190401.283975_HU_webconnectivity_277169a12b02d546,AS21334,HU,20241119T174653Z_webconnectivity_HU_21334_n1_qjiCMvfoOTxDmVRY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://sputniknews.com/,2024-11-19T19:01:43Z,20241119190143.842199_HU_webconnectivity_f68d3c45da3ba0ec,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119190143.842199_HU_webconnectivity_f68d3c45da3ba0ec,AS21334,HU,20241119T174653Z_webconnectivity_HU_21334_n1_qjiCMvfoOTxDmVRY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.eurogrand.com/,2024-11-19T19:01:24Z,20241119190125.270197_HU_webconnectivity_1ab7024c6d95973b,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119190125.270197_HU_webconnectivity_1ab7024c6d95973b,AS20845,HU,20241119T185748Z_webconnectivity_HU_20845_n1_SgkmbEKYHQxOX9uo,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://smotrim.ru/,2024-11-19T19:01:19Z,20241119190134.522504_HU_webconnectivity_14e7c17fb43f5a89,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119190134.522504_HU_webconnectivity_14e7c17fb43f5a89,AS21334,HU,20241119T174653Z_webconnectivity_HU_21334_n1_qjiCMvfoOTxDmVRY,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
