anomaly,confirmed,failure,input,measurement_start_time,measurement_uid,measurement_url,probe_asn,probe_cc,report_id,scores,test_name
True,False,False,https://www.gambling.com/,2024-11-19T18:01:53Z,20241119180154.157122_UY_webconnectivity_36e43abeb7ad25c3,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119180154.157122_UY_webconnectivity_36e43abeb7ad25c3,AS6057,UY,20241119T180138Z_webconnectivity_UY_6057_n1_bgo8LCocfa4BRVl6,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://www.betfair.com/,2024-11-19T18:01:52Z,20241119180153.229346_UY_webconnectivity_c47d6687567c2807,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119180153.229346_UY_webconnectivity_c47d6687567c2807,AS6057,UY,20241119T180138Z_webconnectivity_UY_6057_n1_bgo8LCocfa4BRVl6,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.onlinegambling.com/,2024-11-19T08:41:42Z,20241119084142.731039_UY_webconnectivity_e7de4ed9ab6bd0ce,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119084142.731039_UY_webconnectivity_e7de4ed9ab6bd0ce,AS6057,UY,20241119T084048Z_webconnectivity_UY_6057_n1_yOtGoTK791w3yKOx,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://www.europacasino.com/,2024-11-19T08:41:17Z,20241119084117.928133_UY_webconnectivity_e989bb3e10bd7628,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119084117.928133_UY_webconnectivity_e989bb3e10bd7628,AS6057,UY,20241119T084048Z_webconnectivity_UY_6057_n1_yOtGoTK791w3yKOx,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://cf-ipfs.com/,2024-11-19T08:41:03Z,20241119084104.431267_UY_webconnectivity_6ea57daacc4a044e,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119084104.431267_UY_webconnectivity_6ea57daacc4a044e,AS6057,UY,20241119T084048Z_webconnectivity_UY_6057_n1_yOtGoTK791w3yKOx,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,http://www.sportingbet.com/,2024-11-19T00:59:34Z,20241119005935.435114_UY_webconnectivity_6a6600d30d5f0df5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119005935.435114_UY_webconnectivity_6a6600d30d5f0df5,AS6057,UY,20241119T005226Z_webconnectivity_UY_6057_n1_4J2kMapBLmPEyJpg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://www.pokerstars.com/,2024-11-19T00:59:29Z,20241119005930.296597_UY_webconnectivity_e7fb167d616ce722,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119005930.296597_UY_webconnectivity_e7fb167d616ce722,AS6057,UY,20241119T005226Z_webconnectivity_UY_6057_n1_4J2kMapBLmPEyJpg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,https://www.goldenpalace.com/,2024-11-19T00:59:14Z,20241119005915.039868_UY_webconnectivity_9b2ac9fd04752d2d,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119005915.039868_UY_webconnectivity_9b2ac9fd04752d2d,AS6057,UY,20241119T005226Z_webconnectivity_UY_6057_n1_4J2kMapBLmPEyJpg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
True,False,False,http://www.globet.com/,2024-11-19T00:59:13Z,20241119005914.138857_UY_webconnectivity_66ddd8934bd6d304,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119005914.138857_UY_webconnectivity_66ddd8934bd6d304,AS6057,UY,20241119T005226Z_webconnectivity_UY_6057_n1_4J2kMapBLmPEyJpg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0}",web_connectivity
True,False,False,https://www.casino.com/,2024-11-19T00:58:11Z,20241119005812.410886_UY_webconnectivity_3e188bb8f0e187b5,https://api.ooni.io/api/v1/raw_measurement?measurement_uid=20241119005812.410886_UY_webconnectivity_3e188bb8f0e187b5,AS6057,UY,20241119T005226Z_webconnectivity_UY_6057_n1_4J2kMapBLmPEyJpg,"{'analysis': {'blocking_type': 'dns'}, 'blocking_country': 0.0, 'blocking_general': 1.0, 'blocking_global': 0.0, 'blocking_isp': 0.0, 'blocking_local': 0.0, 'fingerprints': [{'confidence_no_fp': 10, 'expected_countries': [], 'location_found': 'dns', 'name': 'cl.dns_br_localhost', 'scope': 'vbw'}]}",web_connectivity
