measurement_uid,dns_experiment_failure,http_experiment_failure,accessible,blocking,resolver_asn,status_code
20241215013521.218440_AR_webconnectivity_acb15573e9aa32cc,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215012831.422529_AR_webconnectivity_ed44094018ba0c13,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215012646.447841_AR_webconnectivity_19e7fe3695b1cd21,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215012023.470404_AR_webconnectivity_300e3ebd865f996f,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215011507.053289_AR_webconnectivity_c797bca48c776b9e,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215005225.439998_AR_webconnectivity_50094e23650d5751,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215005211.405764_AR_webconnectivity_1d30562c5bb93801,android_dns_cache_no_data,None,False,dns,AS212238,200
20241215003704.748455_AR_webconnectivity_af3b22f1645f7be1,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215003702.338096_AR_webconnectivity_9c870d3ff69aa3df,None,ssl_invalid_hostname,False,dns,AS212238,200
20241215000708.943403_AR_webconnectivity_9d02774517f0d95f,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215000616.213273_AR_webconnectivity_6dc3fd2e876e4070,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215000431.754526_AR_webconnectivity_c89a221b9b832527,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241215000429.708494_AR_webconnectivity_68f01cf4120979d8,android_dns_cache_no_data,None,False,dns,AS212238,200
20241214234623.423440_AR_webconnectivity_9992bd8f46897e2e,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241214234536.015427_AR_webconnectivity_8475da739646e5a1,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241214234525.467043_AR_webconnectivity_dd30ec7bbdd2f8df,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241214233627.771196_AR_webconnectivity_33b3bf1876ade020,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241214230156.603479_AR_webconnectivity_8fa1648c7be7d5cf,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241214221343.668090_AR_webconnectivity_722c9b3ad7fbe8e4,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241214220058.836296_AR_webconnectivity_71eb7226b8b97934,android_dns_cache_no_data,None,False,dns,AS212238,-1
20241214215105.305783_AR_webconnectivity_5bbddc57d6e147b2,android_dns_cache_no_data,None,False,dns,AS13335,-1
20241214214459.430093_AR_webconnectivity_4d85ac23f9cf5b46,android_dns_cache_no_data,None,False,dns,AS13335,-1
20241214214448.477775_AR_webconnectivity_0695601756abbc90,android_dns_cache_no_data,None,False,dns,AS13335,-1
20241214213858.599115_AR_webconnectivity_3778231a010adb45,android_dns_cache_no_data,None,False,dns,AS13335,-1
20241214213831.370624_AR_webconnectivity_d1c517b3fc29e9ec,android_dns_cache_no_data,None,False,dns,AS13335,-1
20241214213416.280708_AR_webconnectivity_f46c8247062cfb6c,android_dns_cache_no_data,None,False,dns,AS13335,-1
20241214213325.389582_AR_webconnectivity_0526ac6e392d9278,android_dns_cache_no_data,None,False,dns,AS13335,-1
