measurement_uid,dns_experiment_failure,http_experiment_failure,accessible,blocking,resolver_asn,status_code
20241209215619.061691_UY_webconnectivity_c991a2cf694577a5,android_dns_cache_no_data,None,False,dns,AS6057,200
20241209215617.126877_UY_webconnectivity_219d13b0be6e3a45,android_dns_cache_no_data,None,False,dns,AS6057,200
20241209215404.417425_UY_webconnectivity_90c636a299f89109,android_dns_cache_no_data,None,False,dns,AS6057,-1
20241209215300.365175_UY_webconnectivity_165cb793509a22ca,None,connection_refused,False,dns,AS6057,200
20241209215258.379076_UY_webconnectivity_70418793fc18d621,None,connection_refused,False,dns,AS6057,200
20241209215257.491509_UY_webconnectivity_85b74ae8ddcc3180,None,connection_refused,False,dns,AS6057,200
20241209215251.679279_UY_webconnectivity_a85bbacde0d67098,None,connection_refused,False,dns,AS6057,200
20241209215248.607486_UY_webconnectivity_0c94ed2a55ad554e,None,connection_refused,False,dns,AS6057,200
20241209215249.418957_UY_webconnectivity_fe99f124b66b7ce3,None,connection_refused,False,dns,AS6057,200
20241209215247.833851_UY_webconnectivity_6b4f2748e3467f10,None,connection_refused,False,dns,AS6057,200
20241209215245.854210_UY_webconnectivity_5a5b3c9784adee73,None,connection_refused,False,dns,AS6057,200
20241209215244.949760_UY_webconnectivity_cb6247822beee6d6,None,connection_refused,False,dns,AS6057,-1
20241209215243.982235_UY_webconnectivity_77c3ac3424a3cfcf,None,connection_refused,False,dns,AS6057,200
20241209215243.086377_UY_webconnectivity_fefbd98a883b506a,None,connection_refused,False,dns,AS6057,200
20241209215241.133311_UY_webconnectivity_85ca8dba77b1b368,None,connection_refused,False,dns,AS6057,403
20241209215240.462010_UY_webconnectivity_0cfe872d054caa40,None,connection_refused,False,dns,AS6057,200
20241209215239.489708_UY_webconnectivity_a61f32dac720860b,None,connection_refused,False,dns,AS6057,200
20241209215238.657088_UY_webconnectivity_c6f4d7dd57c9ec7b,None,connection_refused,False,dns,AS6057,403
20241209215238.075129_UY_webconnectivity_960d4d8497ccdfa4,None,connection_refused,False,dns,AS6057,-1
20241209215221.602879_UY_webconnectivity_f5c7a93c84bbe56c,None,connection_refused,False,dns,AS6057,200
20241209215220.644703_UY_webconnectivity_49342f29171e6629,None,connection_refused,False,dns,AS6057,200
20241209215219.387016_UY_webconnectivity_8605d0c61d49e8f6,None,connection_refused,False,dns,AS6057,200
20241209215218.052396_UY_webconnectivity_ce30d29640ff8538,None,connection_refused,False,dns,AS6057,-1
20241209215217.480970_UY_webconnectivity_102d2a892f1eabe6,None,connection_refused,False,dns,AS6057,200
20241209215216.589307_UY_webconnectivity_b1326a5d8a4cd8e2,None,connection_refused,False,dns,AS6057,200
20241209215215.525082_UY_webconnectivity_19603abd118ebd76,None,connection_refused,False,dns,AS6057,403
20241209215213.900899_UY_webconnectivity_1b6a051f44b427fa,None,connection_refused,False,dns,AS6057,-1
20241209215212.978579_UY_webconnectivity_76d38eda48f0dfd3,None,connection_refused,False,dns,AS6057,-1
20241209215212.415415_UY_webconnectivity_8a6d2ff9643b9b9a,None,connection_refused,False,dns,AS6057,200
20241209215211.124966_UY_webconnectivity_fb83b958ca3f4447,None,connection_refused,False,dns,AS6057,503
20241209215210.398865_UY_webconnectivity_feb9ac57ee032d8f,None,connection_refused,False,dns,AS6057,200
20241209215208.801974_UY_webconnectivity_0690edc712f2050c,None,connection_refused,False,dns,AS6057,200
20241209215207.520406_UY_webconnectivity_e458648a2d496a18,None,connection_refused,False,dns,AS6057,-1
20241209215206.742906_UY_webconnectivity_ae8ab9134a29ac56,None,connection_refused,False,dns,AS6057,403
20241209215206.000748_UY_webconnectivity_1628f874138c367c,None,connection_refused,False,dns,AS6057,200
20241209215203.667292_UY_webconnectivity_ed80b0c1c24f71ea,None,connection_refused,False,dns,AS6057,200
20241209215202.227594_UY_webconnectivity_97a60cbde4e4af86,None,connection_refused,False,dns,AS6057,200
20241209215201.426961_UY_webconnectivity_0aa58ab589827624,None,connection_refused,False,dns,AS6057,-1
20241209215200.483102_UY_webconnectivity_5c70328875c59559,None,connection_refused,False,dns,AS6057,200
20241209215159.422923_UY_webconnectivity_2e449f00f3e01dc1,None,connection_refused,False,dns,AS6057,200
20241209215157.908218_UY_webconnectivity_68d3cae009457aab,None,connection_refused,False,dns,AS6057,-1
20241209215156.866409_UY_webconnectivity_c59d5ad082d85c73,None,connection_refused,False,dns,AS6057,200
20241209215155.345195_UY_webconnectivity_4eb2729d7d41cc16,None,connection_refused,False,dns,AS6057,200
20241209215154.466113_UY_webconnectivity_1c96e53e5902f38b,None,connection_refused,False,dns,AS6057,-1
