measurement_uid,dns_experiment_failure,http_experiment_failure,accessible,blocking,resolver_asn,status_code
20241217043110.886129_VE_webconnectivity_c0310e5e9a721c42,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217042529.668599_VE_webconnectivity_90e40dd9d13fba20,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217042514.105419_VE_webconnectivity_47a9cc2d801da16d,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217042227.196683_VE_webconnectivity_f103f4aea8a7d49b,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217031819.888205_VE_webconnectivity_c4b78135c42d9c0e,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217031526.761029_VE_webconnectivity_d22e6a93909b5ce2,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217030815.207379_VE_webconnectivity_f152cb9901f2b7a4,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217030813.782323_VE_webconnectivity_3ab2c07edb1e12e2,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217025840.470796_VE_webconnectivity_79d5d04c2445d445,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217015824.961858_VE_webconnectivity_129873fab5ba45ed,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217005753.321030_VE_webconnectivity_d85a7ccb3701a99b,android_dns_cache_no_data,None,False,dns,AS34549,200
20241217004655.590756_VE_webconnectivity_8327e7c09be1964c,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217001028.918637_VE_webconnectivity_63cb6dd392e0d993,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241217001026.051983_VE_webconnectivity_36bc4f771b5ad75e,android_dns_cache_no_data,None,False,dns,AS34549,200
20241216222134.511730_VE_webconnectivity_a5cdad09d2fa7cd0,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216221919.336694_VE_webconnectivity_8562fb70da8b555d,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216221918.535323_VE_webconnectivity_e20abe1235b1d473,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216210722.238322_VE_webconnectivity_809b2ead272136bf,None,None,False,dns,AS34549,200
20241216204420.837837_VE_webconnectivity_960f527ed041a11e,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216200242.961207_VE_webconnectivity_2ff111ca0461df99,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216193504.921087_VE_webconnectivity_c11821ba4ef16e67,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216193058.787847_VE_webconnectivity_26cf30b506de511f,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216184602.966440_VE_webconnectivity_3320ce6b55ab20a7,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216165834.112252_VE_webconnectivity_b7df9664b94068ad,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216164516.949244_VE_webconnectivity_b3d9a1771995d325,None,None,False,dns,AS34549,200
20241216145409.888281_VE_webconnectivity_28aeb4323c90bcde,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216142953.130813_VE_webconnectivity_d8814e1625c33590,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216142950.466713_VE_webconnectivity_540d834efe57e39b,android_dns_cache_no_data,None,False,dns,AS34549,-1
20241216135450.636811_VE_webconnectivity_006c4c1ab2697983,android_dns_cache_no_data,None,False,dns,AS34549,-1
